 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 86311 VARSAG,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,51
 86311 VARSAG,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,54
 86311 VARSAG,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,56
 86311 VARSAG,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,51
 86311 VARSAG,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,43
 86311 VARSAG,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,39
 86311 VARSAG,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,38
 86311 VARSAG,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,37
 86311 VARSAG,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,42
 86311 VARSAG,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,51
 86311 VARSAG,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,48
 86311 VARSAG,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,51
 86311 VARSAG,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,50
 86311 VARSAG,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,52
 86311 VARSAG,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,57
 86311 VARSAG,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,56
 86311 VARSAG,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,59
 86311 VARSAG,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,52
 86311 VARSAG,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,55
 86311 VARSAG,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,54
 86311 VARSAG,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,60
 86311 VARSAG,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,58
 86311 VARSAG,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,64
 86311 VARSAG,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,57
 86311 VARSAG,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,54
 86311 VARSAG,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,53
 86311 VARSAG,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,55
 86311 VARSAG,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,64
 86311 VARSAG,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,65
