 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 86366 ZETEA,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,194
 86366 ZETEA,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,199
 86366 ZETEA,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,188
 86366 ZETEA,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,192
 86366 ZETEA,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,174
 86366 ZETEA,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,175
 86366 ZETEA,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,177
 86366 ZETEA,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,168
 86366 ZETEA,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,170
 86366 ZETEA,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,164
 86366 ZETEA,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,158
 86366 ZETEA,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,158
 86366 ZETEA,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,165
 86366 ZETEA,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,184
 86366 ZETEA,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,189
 86366 ZETEA,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,200
 86366 ZETEA,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,192
 86366 ZETEA,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,200
 86366 ZETEA,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,190
 86366 ZETEA,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,177
 86366 ZETEA,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,186
 86366 ZETEA,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,176
 86366 ZETEA,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,174
 86366 ZETEA,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,166
 86366 ZETEA,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,157
 86366 ZETEA,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,157
 86366 ZETEA,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,164
 86366 ZETEA,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,186
 86366 ZETEA,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,193
 86366 ZETEA,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,181
 86366 ZETEA,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,187
 86366 ZETEA,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,181
 86366 ZETEA,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,196
 86366 ZETEA,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,184
 86366 ZETEA,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,188
 86366 ZETEA,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,177
 86366 ZETEA,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,231
 86366 ZETEA,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,224
 86366 ZETEA,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,214
 86366 ZETEA,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,200
 86366 ZETEA,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,196
 86366 ZETEA,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,179
 86366 ZETEA,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,195
 86366 ZETEA,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,183
 86366 ZETEA,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,187
 86366 ZETEA,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,243
 86366 ZETEA,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,231
 86366 ZETEA,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,232
 86366 ZETEA,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,225
 86366 ZETEA,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,221
 86366 ZETEA,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,221
 86366 ZETEA,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,217
 86366 ZETEA,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,211
 86366 ZETEA,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,197
 86366 ZETEA,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,289
 86366 ZETEA,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,284
 86366 ZETEA,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,281
 86366 ZETEA,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,273
 86366 ZETEA,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,262
 86366 ZETEA,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,245
 86366 ZETEA,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,239
 86366 ZETEA,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,238
 86366 ZETEA,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,229
 86366 ZETEA,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,282
 86366 ZETEA,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,296
 86366 ZETEA,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,289
 86366 ZETEA,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,298
 86366 ZETEA,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,291
 86366 ZETEA,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,288
 86366 ZETEA,35-39 ani, Masculin, Harghita, Anul 2015, Numar persoane,275
 86366 ZETEA,35-39 ani, Masculin, Harghita, Anul 2016, Numar persoane,276
 86366 ZETEA,35-39 ani, Masculin, Harghita, Anul 2017, Numar persoane,270
 86366 ZETEA,40-44 ani, Masculin, Harghita, Anul 2009, Numar persoane,232
 86366 ZETEA,40-44 ani, Masculin, Harghita, Anul 2010, Numar persoane,250
 86366 ZETEA,40-44 ani, Masculin, Harghita, Anul 2011, Numar persoane,262
 86366 ZETEA,40-44 ani, Masculin, Harghita, Anul 2012, Numar persoane,272
