 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,149
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,153
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,139
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,133
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,120
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,119
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,127
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,134
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,127
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,136
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,138
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,158
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,151
 114382 SINCRAIU DE MURES,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,164
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,191
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,163
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,175
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,174
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,170
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,151
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,164
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,148
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,133
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,130
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,126
 114382 SINCRAIU DE MURES,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,128
