 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,738
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,694
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,613
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,553
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,518
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,501
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,473
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,466
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,456
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,456
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,451
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,447
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,444
 114710 ORAS LUDUS,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,444
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,777
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,765
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,813
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,828
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,793
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,722
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,680
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,593
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,534
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,500
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,468
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,444
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,437
 114710 ORAS LUDUS,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,433
 114710 ORAS LUDUS,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,867
 114710 ORAS LUDUS,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,830
 114710 ORAS LUDUS,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,797
 114710 ORAS LUDUS,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,781
 114710 ORAS LUDUS,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,770
 114710 ORAS LUDUS,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,760
