 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,199
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,209
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,205
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,188
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,166
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,167
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,169
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,186
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,182
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,179
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,180
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,176
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,158
 115076 ADAMUS,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,156
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,183
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,178
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,178
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,192
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,186
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,193
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,197
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,205
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,191
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,177
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,177
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,168
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,188
 115076 ADAMUS,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,190
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,229
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,237
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,217
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,199
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,182
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,185
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,177
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,187
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,212
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,211
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,210
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,212
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,213
 115076 ADAMUS,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,198
 115076 ADAMUS,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,261
 115076 ADAMUS,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,250
 115076 ADAMUS,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,227
 115076 ADAMUS,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,231
 115076 ADAMUS,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,239
 115076 ADAMUS,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,237
 115076 ADAMUS,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,253
 115076 ADAMUS,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,238
 115076 ADAMUS,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,221
