 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,75
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,72
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,67
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,66
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,65
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,63
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,62
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,63
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,70
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,70
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,75
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,79
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,73
 115851 BREAZA,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,64
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,53
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,50
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,65
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,65
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,72
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,80
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,79
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,71
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,68
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,68
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,63
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,61
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,62
 115851 BREAZA,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,69
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,78
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,73
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,68
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,63
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,61
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,57
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,54
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,67
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,69
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,72
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,79
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,79
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,70
 115851 BREAZA,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,70
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,98
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,99
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,92
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,84
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,87
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,84
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,75
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,71
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,70
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,67
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,64
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,59
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,71
 115851 BREAZA,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,75
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,135
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,124
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,119
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,112
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,99
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,97
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,103
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,97
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,90
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,89
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,83
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,78
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,76
 115851 BREAZA,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,74
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,78
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,97
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,109
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,122
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,140
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,130
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,125
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,120
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,112
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,98
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,94
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,99
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,97
 115851 BREAZA,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,96
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 1992, Numar persoane,84
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 1993, Numar persoane,74
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 1994, Numar persoane,67
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 1995, Numar persoane,63
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 1996, Numar persoane,64
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 1997, Numar persoane,79
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 1998, Numar persoane,96
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 1999, Numar persoane,113
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 2000, Numar persoane,123
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 2001, Numar persoane,136
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 2002, Numar persoane,131
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 2003, Numar persoane,118
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 2004, Numar persoane,112
 115851 BREAZA,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,99
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 1992, Numar persoane,72
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 1993, Numar persoane,80
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 1994, Numar persoane,89
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 1995, Numar persoane,91
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 1996, Numar persoane,95
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 1997, Numar persoane,81
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 1998, Numar persoane,69
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 1999, Numar persoane,61
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 2000, Numar persoane,65
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 2001, Numar persoane,69
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 2002, Numar persoane,80
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 2003, Numar persoane,99
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 2004, Numar persoane,109
 115851 BREAZA,35-39 ani, Masculin, Mures, Anul 2005, Numar persoane,117
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 1992, Numar persoane,61
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 1993, Numar persoane,62
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 1994, Numar persoane,61
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 1995, Numar persoane,57
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 1996, Numar persoane,56
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 1997, Numar persoane,76
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 1998, Numar persoane,83
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 1999, Numar persoane,91
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 2000, Numar persoane,92
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 2001, Numar persoane,95
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 2002, Numar persoane,81
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 2003, Numar persoane,73
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 2004, Numar persoane,65
 115851 BREAZA,40-44 ani, Masculin, Mures, Anul 2005, Numar persoane,68
 115851 BREAZA,45-49 ani, Masculin, Mures, Anul 1992, Numar persoane,94
 115851 BREAZA,45-49 ani, Masculin, Mures, Anul 1993, Numar persoane,78
 115851 BREAZA,45-49 ani, Masculin, Mures, Anul 1994, Numar persoane,69
 115851 BREAZA,45-49 ani, Masculin, Mures, Anul 1995, Numar persoane,65
 115851 BREAZA,45-49 ani, Masculin, Mures, Anul 1996, Numar persoane,66
 115851 BREAZA,45-49 ani, Masculin, Mures, Anul 1997, Numar persoane,61
 115851 BREAZA,45-49 ani, Masculin, Mures, Anul 1998, Numar persoane,62
 115851 BREAZA,45-49 ani, Masculin, Mures, Anul 1999, Numar persoane,64
 115851 BREAZA,45-49 ani, Masculin, Mures, Anul 2000, Numar persoane,64
