 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,71
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,60
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,60
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,55
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,59
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,59
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,64
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,66
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,65
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,65
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,63
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,67
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,66
 116439 CUCI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,63
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,72
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,66
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,63
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,69
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,77
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,66
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,66
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,66
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,60
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,66
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,62
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,64
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,71
 116439 CUCI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,62
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,79
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,79
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,64
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,67
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,65
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,69
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,68
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,72
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,79
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,83
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,71
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,66
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,57
 116439 CUCI,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,55
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,120
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,108
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,102
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,85
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,82
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,83
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,82
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,72
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,75
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,70
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,74
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,66
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,69
 116439 CUCI,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,73
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,143
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,144
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,135
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,134
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,125
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,113
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,106
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,100
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,89
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,82
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,86
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,86
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,77
 116439 CUCI,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,75
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,79
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,76
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,85
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,99
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,102
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,114
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,123
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,119
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,114
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,111
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,101
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,94
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,93
 116439 CUCI,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,82
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 1992, Numar persoane,59
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 1993, Numar persoane,58
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 1994, Numar persoane,60
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 1995, Numar persoane,51
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 1996, Numar persoane,60
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 1997, Numar persoane,62
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 1998, Numar persoane,60
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 1999, Numar persoane,74
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 2000, Numar persoane,90
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 2001, Numar persoane,94
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 2002, Numar persoane,99
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 2003, Numar persoane,112
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 2004, Numar persoane,111
 116439 CUCI,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,109
 116439 CUCI,35-39 ani, Masculin, Mures, Anul 1992, Numar persoane,62
 116439 CUCI,35-39 ani, Masculin, Mures, Anul 1993, Numar persoane,58
 116439 CUCI,35-39 ani, Masculin, Mures, Anul 1994, Numar persoane,55
 116439 CUCI,35-39 ani, Masculin, Mures, Anul 1995, Numar persoane,59
 116439 CUCI,35-39 ani, Masculin, Mures, Anul 1996, Numar persoane,53
