 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,75
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,67
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,66
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,64
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,61
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,58
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,53
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,49
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,41
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,44
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,52
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,61
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,69
 116723 FARAGAU,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,87
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,54
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,65
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,65
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,71
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,79
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,70
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,58
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,57
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,57
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,56
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,54
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,53
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,50
 116723 FARAGAU,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,41
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,79
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,77
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,61
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,58
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,56
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,55
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,66
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,65
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,68
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,70
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,69
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,64
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,59
 116723 FARAGAU,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,60
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,100
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,93
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,93
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,87
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,85
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,76
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,77
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,60
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,55
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,50
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,50
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,64
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,66
 116723 FARAGAU,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,72
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,92
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,86
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,85
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,88
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,86
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,96
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,91
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,92
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,90
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,84
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,75
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,78
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,66
 116723 FARAGAU,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,60
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,57
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,62
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,73
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,73
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,72
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,65
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,65
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,66
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,75
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,78
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,86
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,81
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,84
 116723 FARAGAU,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,83
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 1992, Numar persoane,61
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 1993, Numar persoane,56
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 1994, Numar persoane,50
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 1995, Numar persoane,47
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 1996, Numar persoane,48
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 1997, Numar persoane,45
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 1998, Numar persoane,53
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 1999, Numar persoane,64
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 2000, Numar persoane,62
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 2001, Numar persoane,56
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 2002, Numar persoane,57
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 2003, Numar persoane,55
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 2004, Numar persoane,55
 116723 FARAGAU,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,67
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 1992, Numar persoane,50
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 1993, Numar persoane,54
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 1994, Numar persoane,46
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 1995, Numar persoane,45
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 1996, Numar persoane,53
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 1997, Numar persoane,51
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 1998, Numar persoane,46
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 1999, Numar persoane,45
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 2000, Numar persoane,43
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 2001, Numar persoane,44
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 2002, Numar persoane,43
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 2003, Numar persoane,49
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 2004, Numar persoane,53
 116723 FARAGAU,35-39 ani, Masculin, Mures, Anul 2005, Numar persoane,56
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 1992, Numar persoane,45
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 1993, Numar persoane,41
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 1994, Numar persoane,50
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 1995, Numar persoane,51
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 1996, Numar persoane,47
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 1997, Numar persoane,46
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 1998, Numar persoane,51
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 1999, Numar persoane,44
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 2000, Numar persoane,43
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 2001, Numar persoane,49
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 2002, Numar persoane,51
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 2003, Numar persoane,50
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 2004, Numar persoane,52
 116723 FARAGAU,40-44 ani, Masculin, Mures, Anul 2005, Numar persoane,51
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 1992, Numar persoane,43
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 1993, Numar persoane,43
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 1994, Numar persoane,46
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 1995, Numar persoane,45
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 1996, Numar persoane,43
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 1997, Numar persoane,41
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 1998, Numar persoane,38
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 1999, Numar persoane,46
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 2000, Numar persoane,47
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 2001, Numar persoane,45
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 2002, Numar persoane,44
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 2003, Numar persoane,50
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 2004, Numar persoane,45
 116723 FARAGAU,45-49 ani, Masculin, Mures, Anul 2005, Numar persoane,43
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 1992, Numar persoane,62
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 1993, Numar persoane,56
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 1994, Numar persoane,46
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 1995, Numar persoane,45
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 1996, Numar persoane,44
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 1997, Numar persoane,41
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 1998, Numar persoane,39
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 1999, Numar persoane,44
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 2000, Numar persoane,43
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 2001, Numar persoane,40
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 2002, Numar persoane,38
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 2003, Numar persoane,37
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 2004, Numar persoane,44
 116723 FARAGAU,50-54 ani, Masculin, Mures, Anul 2005, Numar persoane,44
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 1992, Numar persoane,71
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 1993, Numar persoane,62
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 1994, Numar persoane,58
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 1995, Numar persoane,56
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 1996, Numar persoane,54
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 1997, Numar persoane,57
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 1998, Numar persoane,52
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 1999, Numar persoane,39
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 2000, Numar persoane,41
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 2001, Numar persoane,41
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 2002, Numar persoane,40
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 2003, Numar persoane,39
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 2004, Numar persoane,43
 116723 FARAGAU,55-59 ani, Masculin, Mures, Anul 2005, Numar persoane,40
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 1992, Numar persoane,59
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 1993, Numar persoane,64
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 1994, Numar persoane,56
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 1995, Numar persoane,60
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 1996, Numar persoane,59
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 1997, Numar persoane,58
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 1998, Numar persoane,51
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 1999, Numar persoane,52
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 2000, Numar persoane,49
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 2001, Numar persoane,45
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 2002, Numar persoane,47
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 2003, Numar persoane,45
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 2004, Numar persoane,38
 116723 FARAGAU,60-64 ani, Masculin, Mures, Anul 2005, Numar persoane,40
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 1992, Numar persoane,63
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 1993, Numar persoane,62
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 1994, Numar persoane,57
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 1995, Numar persoane,59
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 1996, Numar persoane,54
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 1997, Numar persoane,53
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 1998, Numar persoane,59
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 1999, Numar persoane,48
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 2000, Numar persoane,50
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 2001, Numar persoane,51
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 2002, Numar persoane,46
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 2003, Numar persoane,41
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 2004, Numar persoane,41
 116723 FARAGAU,65-69 ani, Masculin, Mures, Anul 2005, Numar persoane,40
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 1992, Numar persoane,26
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 1993, Numar persoane,34
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 1994, Numar persoane,47
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 1995, Numar persoane,46
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 1996, Numar persoane,52
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 1997, Numar persoane,51
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 1998, Numar persoane,50
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 1999, Numar persoane,49
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 2000, Numar persoane,53
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 2001, Numar persoane,46
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 2002, Numar persoane,45
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 2003, Numar persoane,50
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 2004, Numar persoane,39
 116723 FARAGAU,70-74 ani, Masculin, Mures, Anul 2005, Numar persoane,38
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 1992, Numar persoane,16
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 1993, Numar persoane,12
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 1994, Numar persoane,11
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 1995, Numar persoane,13
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 1996, Numar persoane,16
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 1997, Numar persoane,20
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 1998, Numar persoane,28
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 1999, Numar persoane,34
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 2000, Numar persoane,31
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 2001, Numar persoane,36
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 2002, Numar persoane,36
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 2003, Numar persoane,37
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 2004, Numar persoane,39
 116723 FARAGAU,75-79 ani, Masculin, Mures, Anul 2005, Numar persoane,38
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 1992, Numar persoane,25
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 1993, Numar persoane,22
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 1994, Numar persoane,20
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 1995, Numar persoane,12
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 1996, Numar persoane,6
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 1997, Numar persoane,6
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 1998, Numar persoane,4
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 1999, Numar persoane,4
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 2000, Numar persoane,5
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 2001, Numar persoane,9
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 2002, Numar persoane,12
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 2003, Numar persoane,17
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 2004, Numar persoane,23
 116723 FARAGAU,80-84 ani, Masculin, Mures, Anul 2005, Numar persoane,21
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 1992, Numar persoane,7
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 1993, Numar persoane,9
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 1994, Numar persoane,10
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 1995, Numar persoane,15
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 1996, Numar persoane,17
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 1997, Numar persoane,14
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 1998, Numar persoane,10
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 1999, Numar persoane,6
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 2000, Numar persoane,6
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 2001, Numar persoane,4
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 2002, Numar persoane,4
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 2003, Numar persoane,3
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 2004, Numar persoane,3
 116723 FARAGAU,85 ani si peste, Masculin, Mures, Anul 2005, Numar persoane,3
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 1992, Numar persoane,77
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 1993, Numar persoane,72
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 1994, Numar persoane,52
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 1995, Numar persoane,45
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 1996, Numar persoane,38
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 1997, Numar persoane,40
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 1998, Numar persoane,49
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 1999, Numar persoane,52
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 2000, Numar persoane,59
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 2001, Numar persoane,65
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 2002, Numar persoane,66
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 2003, Numar persoane,60
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 2004, Numar persoane,67
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 2005, Numar persoane,70
 116723 FARAGAU,0- 4 ani, Feminin, Mures, Anul 2006, Numar persoane,70
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 1992, Numar persoane,61
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 1993, Numar persoane,58
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 1994, Numar persoane,69
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 1995, Numar persoane,74
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 1996, Numar persoane,79
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 1997, Numar persoane,73
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 1998, Numar persoane,68
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 1999, Numar persoane,46
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 2000, Numar persoane,43
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 2001, Numar persoane,37
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 2002, Numar persoane,40
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 2003, Numar persoane,50
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 2004, Numar persoane,54
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 2005, Numar persoane,58
 116723 FARAGAU,5- 9 ani, Feminin, Mures, Anul 2006, Numar persoane,66
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 1992, Numar persoane,77
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 1993, Numar persoane,76
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 1994, Numar persoane,70
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 1995, Numar persoane,61
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 1996, Numar persoane,57
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 1997, Numar persoane,58
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 1998, Numar persoane,57
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 1999, Numar persoane,70
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 2000, Numar persoane,70
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 2001, Numar persoane,70
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 2002, Numar persoane,67
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 2003, Numar persoane,63
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 2004, Numar persoane,44
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 2005, Numar persoane,40
 116723 FARAGAU,10-14 ani, Feminin, Mures, Anul 2006, Numar persoane,38
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 1992, Numar persoane,85
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 1993, Numar persoane,78
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 1994, Numar persoane,71
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 1995, Numar persoane,69
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 1996, Numar persoane,72
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 1997, Numar persoane,79
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 1998, Numar persoane,74
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 1999, Numar persoane,66
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 2000, Numar persoane,62
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 2001, Numar persoane,56
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 2002, Numar persoane,58
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 2003, Numar persoane,61
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 2004, Numar persoane,74
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 2005, Numar persoane,73
 116723 FARAGAU,15-19 ani, Feminin, Mures, Anul 2006, Numar persoane,70
 116723 FARAGAU,20-24 ani, Feminin, Mures, Anul 1992, Numar persoane,78
 116723 FARAGAU,20-24 ani, Feminin, Mures, Anul 1993, Numar persoane,71
 116723 FARAGAU,20-24 ani, Feminin, Mures, Anul 1994, Numar persoane,74
 116723 FARAGAU,20-24 ani, Feminin, Mures, Anul 1995, Numar persoane,77
 116723 FARAGAU,20-24 ani, Feminin, Mures, Anul 1996, Numar persoane,76
 116723 FARAGAU,20-24 ani, Feminin, Mures, Anul 1997, Numar persoane,69
 116723 FARAGAU,20-24 ani, Feminin, Mures, Anul 1998, Numar persoane,67
 116723 FARAGAU,20-24 ani, Feminin, Mures, Anul 1999, Numar persoane,62
 116723 FARAGAU,20-24 ani, Feminin, Mures, Anul 2000, Numar persoane,64
