 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,246
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,235
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,233
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,225
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,193
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,187
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,187
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,184
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,192
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,213
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,220
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,219
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,155
 117042 GHINDARI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,149
 117042 GHINDARI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,207
 117042 GHINDARI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,223
 117042 GHINDARI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,212
 117042 GHINDARI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,218
 117042 GHINDARI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,242
 117042 GHINDARI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,240
 117042 GHINDARI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,229
 117042 GHINDARI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,226
 117042 GHINDARI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,213
 117042 GHINDARI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,180
