 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,279
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,265
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,262
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,251
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,246
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,227
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,218
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,215
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,208
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,207
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,208
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,200
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,208
 117319 GURGHIU,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,203
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,258
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,259
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,259
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,275
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,274
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,279
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,277
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,267
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,256
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,248
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,227
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,212
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,207
 117319 GURGHIU,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,201
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,268
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,266
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,269
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,257
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,257
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,266
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,262
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,261
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,272
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,279
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,278
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,275
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,265
 117319 GURGHIU,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,243
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,311
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,296
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,289
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,266
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,258
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,269
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,260
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,263
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,261
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,257
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,260
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,260
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,261
 117319 GURGHIU,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,280
 117319 GURGHIU,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,367
 117319 GURGHIU,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,343
 117319 GURGHIU,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,323
 117319 GURGHIU,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,331
 117319 GURGHIU,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,323
 117319 GURGHIU,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,310
 117319 GURGHIU,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,299
 117319 GURGHIU,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,290
 117319 GURGHIU,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,264
