 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,240
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,232
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,216
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,196
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,182
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,183
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,163
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,167
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,165
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,172
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,160
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,169
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,162
 117426 HODAC,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,166
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,205
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,221
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,224
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,225
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,228
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,225
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,218
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,213
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,198
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,185
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,181
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,166
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,169
 117426 HODAC,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,171
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,198
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,188
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,184
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,181
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,187
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,191
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,214
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,216
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,223
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,227
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,224
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,218
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,208
 117426 HODAC,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,196
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,256
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,245
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,230
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,216
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,203
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,192
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,182
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,178
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,173
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,183
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,189
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,213
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,215
 117426 HODAC,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,215
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,249
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,238
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,239
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,246
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,250
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,248
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,237
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,225
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,210
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,203
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,185
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,179
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,179
 117426 HODAC,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,173
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,236
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,242
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,230
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,221
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,216
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,223
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,214
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,224
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,232
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,237
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,237
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,231
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,224
 117426 HODAC,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,213
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 1992, Numar persoane,216
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 1993, Numar persoane,217
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 1994, Numar persoane,225
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 1995, Numar persoane,224
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 1996, Numar persoane,221
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 1997, Numar persoane,208
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 1998, Numar persoane,224
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 1999, Numar persoane,216
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 2000, Numar persoane,211
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 2001, Numar persoane,207
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 2002, Numar persoane,223
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 2003, Numar persoane,210
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 2004, Numar persoane,213
 117426 HODAC,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,228
