 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,390
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,387
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,389
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,355
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,320
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,307
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,305
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,278
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,294
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,314
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,312
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,298
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,298
 117827 ORAS IERNUT,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,275
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,301
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,316
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,360
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,384
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,406
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,413
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,397
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,380
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,355
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,327
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,321
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,316
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,285
 117827 ORAS IERNUT,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,300
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,397
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,370
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,353
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,334
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,322
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,321
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,327
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,361
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,384
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,401
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,412
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,398
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,391
 117827 ORAS IERNUT,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,365
 117827 ORAS IERNUT,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,486
 117827 ORAS IERNUT,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,482
 117827 ORAS IERNUT,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,463
 117827 ORAS IERNUT,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,437
 117827 ORAS IERNUT,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,419
 117827 ORAS IERNUT,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,394
