 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,78
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,71
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,74
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,72
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,89
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,92
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,87
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,76
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,72
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,68
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,63
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,67
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,70
 118094 MAGHERANI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,42
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,98
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,90
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,85
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,88
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,78
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,68
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,67
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,72
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,73
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,86
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,85
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,85
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,77
 118094 MAGHERANI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,37
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,98
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,107
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,101
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,91
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,84
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,90
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,81
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,78
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,83
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,79
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,71
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,67
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,82
 118094 MAGHERANI,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,47
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,122
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,116
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,113
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,115
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,107
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,99
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,106
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,97
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,84
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,84
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,89
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,84
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,78
 118094 MAGHERANI,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,48
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,156
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,138
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,126
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,123
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,130
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,119
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,112
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,112
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,113
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,103
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,97
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,107
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,103
 118094 MAGHERANI,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,46
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,70
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,79
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,107
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,122
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,125
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,131
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,118
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,106
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,113
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,121
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,118
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,113
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,112
 118094 MAGHERANI,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,69
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 1992, Numar persoane,87
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 1993, Numar persoane,86
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 1994, Numar persoane,73
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 1995, Numar persoane,61
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 1996, Numar persoane,57
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 1997, Numar persoane,60
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 1998, Numar persoane,67
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 1999, Numar persoane,89
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 2000, Numar persoane,101
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 2001, Numar persoane,108
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 2002, Numar persoane,118
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 2003, Numar persoane,112
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 2004, Numar persoane,109
 118094 MAGHERANI,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,58
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 1992, Numar persoane,77
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 1993, Numar persoane,73
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 1994, Numar persoane,79
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 1995, Numar persoane,88
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 1996, Numar persoane,86
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 1997, Numar persoane,84
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 1998, Numar persoane,81
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 1999, Numar persoane,68
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 2000, Numar persoane,54
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 2001, Numar persoane,50
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 2002, Numar persoane,54
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 2003, Numar persoane,63
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 2004, Numar persoane,82
 118094 MAGHERANI,35-39 ani, Masculin, Mures, Anul 2005, Numar persoane,47
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 1992, Numar persoane,86
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 1993, Numar persoane,76
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 1994, Numar persoane,78
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 1995, Numar persoane,66
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 1996, Numar persoane,72
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 1997, Numar persoane,71
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 1998, Numar persoane,79
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 1999, Numar persoane,81
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 2000, Numar persoane,90
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 2001, Numar persoane,84
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 2002, Numar persoane,83
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 2003, Numar persoane,79
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 2004, Numar persoane,64
 118094 MAGHERANI,40-44 ani, Masculin, Mures, Anul 2005, Numar persoane,26
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 1992, Numar persoane,99
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 1993, Numar persoane,109
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 1994, Numar persoane,98
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 1995, Numar persoane,93
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 1996, Numar persoane,89
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 1997, Numar persoane,81
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 1998, Numar persoane,68
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 1999, Numar persoane,77
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 2000, Numar persoane,69
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 2001, Numar persoane,74
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 2002, Numar persoane,70
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 2003, Numar persoane,75
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 2004, Numar persoane,82
 118094 MAGHERANI,45-49 ani, Masculin, Mures, Anul 2005, Numar persoane,43
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 1992, Numar persoane,102
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 1993, Numar persoane,86
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 1994, Numar persoane,93
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 1995, Numar persoane,99
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 1996, Numar persoane,99
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 1997, Numar persoane,97
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 1998, Numar persoane,104
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 1999, Numar persoane,93
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 2000, Numar persoane,87
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 2001, Numar persoane,81
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 2002, Numar persoane,72
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 2003, Numar persoane,66
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 2004, Numar persoane,75
 118094 MAGHERANI,50-54 ani, Masculin, Mures, Anul 2005, Numar persoane,40
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 1992, Numar persoane,96
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 1993, Numar persoane,98
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 1994, Numar persoane,95
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 1995, Numar persoane,92
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 1996, Numar persoane,91
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 1997, Numar persoane,94
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 1998, Numar persoane,82
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 1999, Numar persoane,86
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 2000, Numar persoane,93
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 2001, Numar persoane,92
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 2002, Numar persoane,88
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 2003, Numar persoane,98
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 2004, Numar persoane,85
 118094 MAGHERANI,55-59 ani, Masculin, Mures, Anul 2005, Numar persoane,39
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 1992, Numar persoane,130
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 1993, Numar persoane,118
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 1994, Numar persoane,105
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 1995, Numar persoane,95
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 1996, Numar persoane,95
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 1997, Numar persoane,85
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 1998, Numar persoane,85
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 1999, Numar persoane,84
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 2000, Numar persoane,80
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 2001, Numar persoane,76
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 2002, Numar persoane,83
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 2003, Numar persoane,74
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 2004, Numar persoane,77
 118094 MAGHERANI,60-64 ani, Masculin, Mures, Anul 2005, Numar persoane,40
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 1992, Numar persoane,138
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 1993, Numar persoane,137
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 1994, Numar persoane,133
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 1995, Numar persoane,118
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 1996, Numar persoane,107
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 1997, Numar persoane,107
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 1998, Numar persoane,101
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 1999, Numar persoane,86
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 2000, Numar persoane,76
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 2001, Numar persoane,83
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 2002, Numar persoane,73
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 2003, Numar persoane,68
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 2004, Numar persoane,67
 118094 MAGHERANI,65-69 ani, Masculin, Mures, Anul 2005, Numar persoane,33
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 1992, Numar persoane,105
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 1993, Numar persoane,113
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 1994, Numar persoane,121
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 1995, Numar persoane,110
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 1996, Numar persoane,111
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 1997, Numar persoane,100
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 1998, Numar persoane,99
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 1999, Numar persoane,103
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 2000, Numar persoane,98
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 2001, Numar persoane,83
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 2002, Numar persoane,82
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 2003, Numar persoane,82
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 2004, Numar persoane,68
 118094 MAGHERANI,70-74 ani, Masculin, Mures, Anul 2005, Numar persoane,36
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 1992, Numar persoane,63
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 1993, Numar persoane,47
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 1994, Numar persoane,42
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 1995, Numar persoane,59
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 1996, Numar persoane,60
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 1997, Numar persoane,67
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 1998, Numar persoane,69
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 1999, Numar persoane,75
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 2000, Numar persoane,68
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 2001, Numar persoane,77
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 2002, Numar persoane,76
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 2003, Numar persoane,69
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 2004, Numar persoane,65
 118094 MAGHERANI,75-79 ani, Masculin, Mures, Anul 2005, Numar persoane,40
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 1992, Numar persoane,42
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 1993, Numar persoane,49
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 1994, Numar persoane,41
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 1995, Numar persoane,43
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 1996, Numar persoane,37
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 1997, Numar persoane,34
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 1998, Numar persoane,29
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 1999, Numar persoane,26
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 2000, Numar persoane,38
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 2001, Numar persoane,34
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 2002, Numar persoane,35
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 2003, Numar persoane,36
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 2004, Numar persoane,40
 118094 MAGHERANI,80-84 ani, Masculin, Mures, Anul 2005, Numar persoane,17
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 1992, Numar persoane,10
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 1993, Numar persoane,8
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 1994, Numar persoane,7
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 1995, Numar persoane,8
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 1996, Numar persoane,13
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 1997, Numar persoane,17
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 1998, Numar persoane,19
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 1999, Numar persoane,23
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 2000, Numar persoane,23
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 2001, Numar persoane,23
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 2002, Numar persoane,23
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 2003, Numar persoane,21
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 2004, Numar persoane,20
 118094 MAGHERANI,85 ani si peste, Masculin, Mures, Anul 2005, Numar persoane,14
 118094 MAGHERANI,0- 4 ani, Feminin, Mures, Anul 1992, Numar persoane,102
 118094 MAGHERANI,0- 4 ani, Feminin, Mures, Anul 1993, Numar persoane,98
 118094 MAGHERANI,0- 4 ani, Feminin, Mures, Anul 1994, Numar persoane,84
 118094 MAGHERANI,0- 4 ani, Feminin, Mures, Anul 1995, Numar persoane,75
 118094 MAGHERANI,0- 4 ani, Feminin, Mures, Anul 1996, Numar persoane,70
 118094 MAGHERANI,0- 4 ani, Feminin, Mures, Anul 1997, Numar persoane,72
