 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,231
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,225
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,198
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,193
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,177
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,170
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,182
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,202
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,195
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,208
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,199
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,218
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,215
 118281 ORAS MIERCUREA NIRAJULUI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,237
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,231
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,216
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,220
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,227
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,222
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,214
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,207
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,190
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,190
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,187
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,192
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,195
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,202
 118281 ORAS MIERCUREA NIRAJULUI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,184
 118281 ORAS MIERCUREA NIRAJULUI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,252
 118281 ORAS MIERCUREA NIRAJULUI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,265
 118281 ORAS MIERCUREA NIRAJULUI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,250
 118281 ORAS MIERCUREA NIRAJULUI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,230
 118281 ORAS MIERCUREA NIRAJULUI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,220
 118281 ORAS MIERCUREA NIRAJULUI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,224
