 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,80
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,82
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,70
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,70
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,80
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,79
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,77
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,101
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,94
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,100
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,104
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,110
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,92
 118370 MIHESU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,95
 118370 MIHESU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,85
 118370 MIHESU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,83
 118370 MIHESU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,80
 118370 MIHESU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,82
