 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,56
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,50
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,52
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,51
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,43
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,41
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,43
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,45
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,45
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,55
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,66
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,59
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,52
 118511 NEAUA,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,44
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,50
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,50
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,50
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,54
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,52
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,49
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,50
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,54
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,58
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,45
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,42
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,45
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,49
 118511 NEAUA,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,48
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,68
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,59
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,57
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,49
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,46
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,51
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,51
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,50
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,55
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,58
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,57
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,55
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,57
 118511 NEAUA,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,60
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,67
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,65
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,72
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,56
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,62
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,66
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,60
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,55
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,53
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,51
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,55
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,59
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,58
 118511 NEAUA,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,63
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,97
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,98
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,83
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,88
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,73
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,66
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,64
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,72
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,56
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,61
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,65
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,59
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,53
 118511 NEAUA,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,48
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,44
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,57
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,66
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,83
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,82
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,88
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,91
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,77
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,84
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,71
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,61
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,59
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,67
 118511 NEAUA,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,53
 118511 NEAUA,30-34 ani, Masculin, Mures, Anul 1992, Numar persoane,44
 118511 NEAUA,30-34 ani, Masculin, Mures, Anul 1993, Numar persoane,38
 118511 NEAUA,30-34 ani, Masculin, Mures, Anul 1994, Numar persoane,38
 118511 NEAUA,30-34 ani, Masculin, Mures, Anul 1995, Numar persoane,34
 118511 NEAUA,30-34 ani, Masculin, Mures, Anul 1996, Numar persoane,38
 118511 NEAUA,30-34 ani, Masculin, Mures, Anul 1997, Numar persoane,40
 118511 NEAUA,30-34 ani, Masculin, Mures, Anul 1998, Numar persoane,56
 118511 NEAUA,30-34 ani, Masculin, Mures, Anul 1999, Numar persoane,65
 118511 NEAUA,30-34 ani, Masculin, Mures, Anul 2000, Numar persoane,76
