 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,230
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,241
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,231
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,221
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,222
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,225
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,224
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,232
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,253
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,277
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,273
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,277
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,269
 119242 ORAS SARMASU,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,222
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,211
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,210
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,226
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,225
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,216
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,218
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,233
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,233
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,228
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,236
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,256
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,246
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,261
 119242 ORAS SARMASU,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,277
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,276
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,249
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,213
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,200
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,206
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,207
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,203
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,221
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,232
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,219
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,232
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,261
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,252
 119242 ORAS SARMASU,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,253
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,358
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,347
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,346
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,322
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,298
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,276
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,255
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,222
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,209
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,221
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,211
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,218
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,238
 119242 ORAS SARMASU,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,251
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,446
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,409
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,375
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,382
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,370
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,352
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,341
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,337
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,319
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,301
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,284
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,261
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,224
 119242 ORAS SARMASU,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,210
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,226
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,275
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,329
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,345
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,375
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,404
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,379
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,351
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,354
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,348
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,333
 119242 ORAS SARMASU,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,331
