 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,200
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,192
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,193
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,172
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,158
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,152
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,166
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,166
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,173
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,168
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,177
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,167
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,157
 119331 ORAS SANGEORGIU DE PADURE,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,147
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,169
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,178
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,184
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,206
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,226
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,208
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,191
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,192
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,178
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,163
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,157
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,174
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,172
 119331 ORAS SANGEORGIU DE PADURE,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,181
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,212
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,194
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,194
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,202
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,180
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,174
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,194
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,193
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,204
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,226
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,217
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,208
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,199
 119331 ORAS SANGEORGIU DE PADURE,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,187
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,239
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,233
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,231
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,213
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,203
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,224
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,209
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,203
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,212
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,195
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,186
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,199
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,198
 119331 ORAS SANGEORGIU DE PADURE,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,214
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,265
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,254
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,246
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,254
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,248
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,225
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,230
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,225
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,210
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,204
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,227
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,211
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,202
 119331 ORAS SANGEORGIU DE PADURE,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,211
 119331 ORAS SANGEORGIU DE PADURE,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,135
 119331 ORAS SANGEORGIU DE PADURE,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,170
 119331 ORAS SANGEORGIU DE PADURE,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,193
 119331 ORAS SANGEORGIU DE PADURE,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,226
 119331 ORAS SANGEORGIU DE PADURE,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,243
 119331 ORAS SANGEORGIU DE PADURE,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,261
 119331 ORAS SANGEORGIU DE PADURE,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,255
 119331 ORAS SANGEORGIU DE PADURE,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,247
 119331 ORAS SANGEORGIU DE PADURE,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,243
 119331 ORAS SANGEORGIU DE PADURE,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,242
