 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,142
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,125
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,117
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,101
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,95
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,107
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,105
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,118
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,134
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,138
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,128
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,137
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,134
 119466 SINPAUL,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,128
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,117
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,134
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,132
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,140
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,141
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,134
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,121
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,112
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,105
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,103
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,113
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,110
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,132
 119466 SINPAUL,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,153
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,153
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,143
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,138
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,118
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,111
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,109
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,129
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,126
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,139
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,153
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,152
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,131
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,122
 119466 SINPAUL,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,108
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,169
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,155
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,161
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,177
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,157
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,151
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,140
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,138
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,119
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,116
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,119
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,151
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,156
 119466 SINPAUL,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,167
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,165
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,184
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,168
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,163
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,171
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,165
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,155
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,160
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,171
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,155
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,153
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,144
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,154
 119466 SINPAUL,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,135
