 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,313
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,313
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,283
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,251
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,242
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,247
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,249
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,246
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,248
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,245
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,238
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,236
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,245
 119894 ORAS UNGHENI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,254
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,265
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,272
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,293
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,331
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,336
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,323
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,305
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,289
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,261
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,254
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,251
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,253
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,249
 119894 ORAS UNGHENI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,248
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,267
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,263
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,276
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,272
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,278
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,278
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,279
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,296
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,325
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,328
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,325
 119894 ORAS UNGHENI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,307
