 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,94
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,90
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,80
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,79
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,74
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,70
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,76
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,78
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,71
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,79
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,84
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,79
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,82
 120218 VIISOARA,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,86
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,67
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,65
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,69
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,75
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,84
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,79
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,79
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,72
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,72
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,65
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,61
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,73
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,72
 120218 VIISOARA,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,66
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,67
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,66
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,60
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,57
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,55
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,65
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,56
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,67
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,76
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,83
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,79
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,73
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,66
 120218 VIISOARA,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,64
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,75
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,85
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,90
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,81
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,76
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,68
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,71
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,63
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,61
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,59
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,66
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,60
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,71
 120218 VIISOARA,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,78
 120218 VIISOARA,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,93
 120218 VIISOARA,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,77
 120218 VIISOARA,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,71
 120218 VIISOARA,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,69
 120218 VIISOARA,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,75
 120218 VIISOARA,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,76
 120218 VIISOARA,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,87
 120218 VIISOARA,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,90
