 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 120487 CORUNCA,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,63
 120487 CORUNCA,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,62
 120487 CORUNCA,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,54
 120487 CORUNCA,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,67
 120487 CORUNCA,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,84
 120487 CORUNCA,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,85
 120487 CORUNCA,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,68
 120487 CORUNCA,35-39 ani, Masculin, Mures, Anul 2005, Numar persoane,86
 120487 CORUNCA,40-44 ani, Masculin, Mures, Anul 2005, Numar persoane,42
 120487 CORUNCA,45-49 ani, Masculin, Mures, Anul 2005, Numar persoane,66
 120487 CORUNCA,50-54 ani, Masculin, Mures, Anul 2005, Numar persoane,51
 120487 CORUNCA,55-59 ani, Masculin, Mures, Anul 2005, Numar persoane,41
 120487 CORUNCA,60-64 ani, Masculin, Mures, Anul 2005, Numar persoane,54
 120487 CORUNCA,65-69 ani, Masculin, Mures, Anul 2005, Numar persoane,34
 120487 CORUNCA,70-74 ani, Masculin, Mures, Anul 2005, Numar persoane,27
 120487 CORUNCA,75-79 ani, Masculin, Mures, Anul 2005, Numar persoane,27
 120487 CORUNCA,80-84 ani, Masculin, Mures, Anul 2005, Numar persoane,13
 120487 CORUNCA,85 ani si peste, Masculin, Mures, Anul 2005, Numar persoane,2
 120487 CORUNCA,0- 4 ani, Feminin, Mures, Anul 2005, Numar persoane,35
 120487 CORUNCA,0- 4 ani, Feminin, Mures, Anul 2006, Numar persoane,37
 120487 CORUNCA,5- 9 ani, Feminin, Mures, Anul 2005, Numar persoane,48
 120487 CORUNCA,5- 9 ani, Feminin, Mures, Anul 2006, Numar persoane,49
 120487 CORUNCA,10-14 ani, Feminin, Mures, Anul 2005, Numar persoane,52
 120487 CORUNCA,10-14 ani, Feminin, Mures, Anul 2006, Numar persoane,51
 120487 CORUNCA,15-19 ani, Feminin, Mures, Anul 2005, Numar persoane,70
 120487 CORUNCA,15-19 ani, Feminin, Mures, Anul 2006, Numar persoane,73
 120487 CORUNCA,20-24 ani, Feminin, Mures, Anul 2005, Numar persoane,68
 120487 CORUNCA,20-24 ani, Feminin, Mures, Anul 2006, Numar persoane,63
