 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 120502 MADARAS,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,53
 120502 MADARAS,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,64
 120502 MADARAS,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,62
 120502 MADARAS,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,54
 120502 MADARAS,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,62
 120502 MADARAS,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,83
 120502 MADARAS,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,91
 120502 MADARAS,35-39 ani, Masculin, Mures, Anul 2005, Numar persoane,49
 120502 MADARAS,40-44 ani, Masculin, Mures, Anul 2005, Numar persoane,46
 120502 MADARAS,45-49 ani, Masculin, Mures, Anul 2005, Numar persoane,56
 120502 MADARAS,50-54 ani, Masculin, Mures, Anul 2005, Numar persoane,46
 120502 MADARAS,55-59 ani, Masculin, Mures, Anul 2005, Numar persoane,38
 120502 MADARAS,60-64 ani, Masculin, Mures, Anul 2005, Numar persoane,28
 120502 MADARAS,65-69 ani, Masculin, Mures, Anul 2005, Numar persoane,35
 120502 MADARAS,70-74 ani, Masculin, Mures, Anul 2005, Numar persoane,32
 120502 MADARAS,75-79 ani, Masculin, Mures, Anul 2005, Numar persoane,30
 120502 MADARAS,80-84 ani, Masculin, Mures, Anul 2005, Numar persoane,12
 120502 MADARAS,85 ani si peste, Masculin, Mures, Anul 2005, Numar persoane,1
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2005, Numar persoane,63
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2006, Numar persoane,52
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2005, Numar persoane,77
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2006, Numar persoane,70
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2005, Numar persoane,54
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2006, Numar persoane,69
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2005, Numar persoane,71
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2006, Numar persoane,63
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2005, Numar persoane,61
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2006, Numar persoane,58
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2005, Numar persoane,69
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2006, Numar persoane,77
 120502 MADARAS,30-34 ani, Feminin, Mures, Anul 2005, Numar persoane,58
 120502 MADARAS,30-34 ani, Feminin, Mures, Anul 2006, Numar persoane,59
 120502 MADARAS,35-39 ani, Feminin, Mures, Anul 2005, Numar persoane,49
 120502 MADARAS,35-39 ani, Feminin, Mures, Anul 2006, Numar persoane,52
 120502 MADARAS,40-44 ani, Feminin, Mures, Anul 2005, Numar persoane,30
 120502 MADARAS,40-44 ani, Feminin, Mures, Anul 2006, Numar persoane,24
 120502 MADARAS,45-49 ani, Feminin, Mures, Anul 2005, Numar persoane,54
 120502 MADARAS,45-49 ani, Feminin, Mures, Anul 2006, Numar persoane,48
 120502 MADARAS,50-54 ani, Feminin, Mures, Anul 2005, Numar persoane,44
 120502 MADARAS,50-54 ani, Feminin, Mures, Anul 2006, Numar persoane,50
 120502 MADARAS,55-59 ani, Feminin, Mures, Anul 2005, Numar persoane,39
 120502 MADARAS,55-59 ani, Feminin, Mures, Anul 2006, Numar persoane,42
 120502 MADARAS,60-64 ani, Feminin, Mures, Anul 2005, Numar persoane,45
 120502 MADARAS,60-64 ani, Feminin, Mures, Anul 2006, Numar persoane,47
 120502 MADARAS,65-69 ani, Feminin, Mures, Anul 2005, Numar persoane,46
 120502 MADARAS,65-69 ani, Feminin, Mures, Anul 2006, Numar persoane,41
 120502 MADARAS,70-74 ani, Feminin, Mures, Anul 2005, Numar persoane,42
 120502 MADARAS,70-74 ani, Feminin, Mures, Anul 2006, Numar persoane,41
 120502 MADARAS,75-79 ani, Feminin, Mures, Anul 2005, Numar persoane,49
 120502 MADARAS,75-79 ani, Feminin, Mures, Anul 2006, Numar persoane,49
 120502 MADARAS,80-84 ani, Feminin, Mures, Anul 2005, Numar persoane,22
 120502 MADARAS,80-84 ani, Feminin, Mures, Anul 2006, Numar persoane,24
 120502 MADARAS,85 ani si peste, Feminin, Mures, Anul 2005, Numar persoane,6
 120502 MADARAS,85 ani si peste, Feminin, Mures, Anul 2006, Numar persoane,5
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2007, Numar persoane,49
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2008, Numar persoane,53
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2009, Numar persoane,46
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2010, Numar persoane,50
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2011, Numar persoane,50
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2012, Numar persoane,52
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2013, Numar persoane,53
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2014, Numar persoane,55
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2015, Numar persoane,49
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2016, Numar persoane,47
 120502 MADARAS,0- 4 ani, Feminin, Mures, Anul 2017, Numar persoane,48
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2007, Numar persoane,67
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2008, Numar persoane,64
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2009, Numar persoane,67
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2010, Numar persoane,64
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2011, Numar persoane,55
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2012, Numar persoane,49
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2013, Numar persoane,49
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2014, Numar persoane,40
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2015, Numar persoane,46
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2016, Numar persoane,46
 120502 MADARAS,5- 9 ani, Feminin, Mures, Anul 2017, Numar persoane,50
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2007, Numar persoane,70
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2008, Numar persoane,71
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2009, Numar persoane,74
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2010, Numar persoane,70
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2011, Numar persoane,66
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2012, Numar persoane,65
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2013, Numar persoane,62
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2014, Numar persoane,64
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2015, Numar persoane,62
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2016, Numar persoane,54
 120502 MADARAS,10-14 ani, Feminin, Mures, Anul 2017, Numar persoane,47
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2007, Numar persoane,68
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2008, Numar persoane,62
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2009, Numar persoane,56
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2010, Numar persoane,47
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2011, Numar persoane,53
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2012, Numar persoane,57
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2013, Numar persoane,61
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2014, Numar persoane,65
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2015, Numar persoane,65
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2016, Numar persoane,63
 120502 MADARAS,15-19 ani, Feminin, Mures, Anul 2017, Numar persoane,64
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2007, Numar persoane,60
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2008, Numar persoane,61
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2009, Numar persoane,59
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2010, Numar persoane,69
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2011, Numar persoane,63
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2012, Numar persoane,61
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2013, Numar persoane,59
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2014, Numar persoane,52
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2015, Numar persoane,45
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2016, Numar persoane,54
 120502 MADARAS,20-24 ani, Feminin, Mures, Anul 2017, Numar persoane,56
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2007, Numar persoane,69
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2008, Numar persoane,70
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2009, Numar persoane,64
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2010, Numar persoane,60
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2011, Numar persoane,55
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2012, Numar persoane,57
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2013, Numar persoane,54
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2014, Numar persoane,54
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2015, Numar persoane,63
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2016, Numar persoane,59
 120502 MADARAS,25-29 ani, Feminin, Mures, Anul 2017, Numar persoane,53
 120502 MADARAS,30-34 ani, Feminin, Mures, Anul 2007, Numar persoane,67
 120502 MADARAS,30-34 ani, Feminin, Mures, Anul 2008, Numar persoane,63
 120502 MADARAS,30-34 ani, Feminin, Mures, Anul 2009, Numar persoane,67
 120502 MADARAS,30-34 ani, Feminin, Mures, Anul 2010, Numar persoane,64
 120502 MADARAS,30-34 ani, Feminin, Mures, Anul 2011, Numar persoane,71
 120502 MADARAS,30-34 ani, Feminin, Mures, Anul 2012, Numar persoane,65
 120502 MADARAS,30-34 ani, Feminin, Mures, Anul 2013, Numar persoane,63
 120502 MADARAS,30-34 ani, Feminin, Mures, Anul 2014, Numar persoane,56
 120502 MADARAS,30-34 ani, Feminin, Mures, Anul 2015, Numar persoane,51
