 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,5187
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,4822
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,4263
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,3722
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,3306
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,3096
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,2964
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,2909
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,2830
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,2881
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,2842
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,2881
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,4979
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,4543
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,4048
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,3481
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,3176
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,2907
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,2829
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,2752
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,2710
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,2704
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,2710
 136483 MUNICIPIUL SATU MARE,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,2697
 136483 MUNICIPIUL SATU MARE,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,5488
 136483 MUNICIPIUL SATU MARE,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,5530
 136483 MUNICIPIUL SATU MARE,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,5745
 136483 MUNICIPIUL SATU MARE,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,5848
 136483 MUNICIPIUL SATU MARE,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,5657
