 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,164
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,163
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,151
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,143
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,140
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,131
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,115
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,105
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,110
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,107
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,100
 136553 CAPLENI,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,72
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,140
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,143
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,144
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,143
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,129
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,127
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,113
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,108
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,114
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,117
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,111
 136553 CAPLENI,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,93
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,176
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,160
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,168
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,163
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,170
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,166
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,170
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,156
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,145
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,137
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,133
 136553 CAPLENI,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,78
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,155
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,138
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,143
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,150
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,150
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,145
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,144
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,147
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,141
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,125
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,131
 136553 CAPLENI,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,84
 136553 CAPLENI,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,196
 136553 CAPLENI,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,194
 136553 CAPLENI,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,195
 136553 CAPLENI,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,186
