 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,934
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,852
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,768
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,688
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,613
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,532
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,488
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,464
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,444
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,435
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,429
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,436
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,871
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,808
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,731
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,674
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,582
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,509
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,467
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,421
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,391
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,424
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,424
 136599 ORAS NEGRESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,424
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,926
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,953
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,990
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,948
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,905
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,881
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,795
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,711
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,631
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,569
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,499
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,469
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,876
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,893
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,931
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,927
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,890
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,820
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,750
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,679
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,622
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,542
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,484
 136599 ORAS NEGRESTI-OAS,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,448
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,842
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,834
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,813
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,831
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,852
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,872
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,897
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,928
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,896
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,861
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,841
 136599 ORAS NEGRESTI-OAS,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,758
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,787
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,782
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,787
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,787
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,791
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,843
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,858
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,880
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,877
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,846
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,779
 136599 ORAS NEGRESTI-OAS,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,732
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,783
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,815
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,833
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,838
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,836
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,801
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,797
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,779
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,809
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,828
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,852
 136599 ORAS NEGRESTI-OAS,15-19 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,885
 136599 ORAS NEGRESTI-OAS,15-19 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,778
 136599 ORAS NEGRESTI-OAS,15-19 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,765
 136599 ORAS NEGRESTI-OAS,15-19 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,758
 136599 ORAS NEGRESTI-OAS,15-19 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,754
 136599 ORAS NEGRESTI-OAS,15-19 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,773
 136599 ORAS NEGRESTI-OAS,15-19 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,771
