 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,104
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,107
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,95
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,90
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,82
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,66
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,65
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,65
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,67
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,69
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,87
 136802 APA,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,88
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,117
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,100
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,99
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,89
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,79
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,73
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,75
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,76
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,81
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,89
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,100
 136802 APA,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,93
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,130
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,125
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,123
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,117
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,103
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,96
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,96
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,81
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,81
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,82
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,70
 136802 APA,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,69
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,75
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,95
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,94
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,105
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,107
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,113
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,96
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,92
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,84
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,77
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,68
 136802 APA,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,70
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,126
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,125
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,133
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,127
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,134
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,129
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,123
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,119
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,113
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,98
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,95
 136802 APA,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,95
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,97
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,73
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,79
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,73
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,84
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,76
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,94
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,100
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,107
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,109
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,115
 136802 APA,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,101
 136802 APA,15-19 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,145
 136802 APA,15-19 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,145
 136802 APA,15-19 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,131
 136802 APA,15-19 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,136
