 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,270
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,255
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,237
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,204
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,174
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,159
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,151
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,143
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,154
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,161
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,162
 137407 CERTEZE,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,173
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,218
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,215
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,204
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,191
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,167
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,156
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,148
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,133
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,127
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,134
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,119
 137407 CERTEZE,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,121
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,304
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,306
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,310
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,299
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,295
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,267
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,251
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,231
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,199
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,175
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,159
 137407 CERTEZE,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,150
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,256
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,254
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,240
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,238
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,227
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,213
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,213
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,204
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,190
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,166
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,153
 137407 CERTEZE,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,145
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,307
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,293
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,298
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,295
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,283
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,296
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,304
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,307
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,297
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,289
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,262
 137407 CERTEZE,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,247
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,269
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,254
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,254
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,236
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,247
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,253
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,251
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,237
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,236
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,227
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,214
 137407 CERTEZE,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,211
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,280
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,287
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,283
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,302
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,300
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,289
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,284
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,294
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,289
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,281
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,292
 137407 CERTEZE,15-19 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,298
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,257
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,263
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,263
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,274
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,270
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,260
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,252
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,248
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,231
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,240
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,251
 137407 CERTEZE,15-19 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,250
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,268
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,276
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,261
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,256
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,265
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,261
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,266
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,262
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,284
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,289
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,292
 137407 CERTEZE,20-24 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,281
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,262
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,254
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,268
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,260
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,244
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,235
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,250
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,248
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,261
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,263
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,257
 137407 CERTEZE,20-24 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,245
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,248
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,259
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,273
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,261
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,262
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,265
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,267
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,249
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,240
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,248
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,256
 137407 CERTEZE,25-29 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,265
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,232
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,238
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,232
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,248
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,246
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,242
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,245
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,260
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,249
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,239
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,241
 137407 CERTEZE,25-29 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,248
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,215
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,206
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,204
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,231
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,236
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,238
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,251
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,268
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,254
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,259
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,259
 137407 CERTEZE,30-34 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,263
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,211
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,214
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,220
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,214
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,221
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,221
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,229
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,219
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,232
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,232
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,239
 137407 CERTEZE,30-34 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,240
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,220
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,217
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,221
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,220
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,213
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,206
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,205
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,202
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,230
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,234
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,237
 137407 CERTEZE,35-39 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,248
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,199
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,197
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,199
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,211
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,212
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,205
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,214
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,220
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,211
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,218
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,219
 137407 CERTEZE,35-39 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,222
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,185
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,193
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,211
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,219
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,216
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,212
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,215
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,220
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,215
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,210
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,207
 137407 CERTEZE,40-44 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,201
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,181
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,194
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,193
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,193
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,204
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,189
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,189
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,191
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,203
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,205
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,205
 137407 CERTEZE,40-44 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,209
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,145
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,151
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,155
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,156
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,168
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,169
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,182
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,198
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,205
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,203
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,203
 137407 CERTEZE,45-49 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,201
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,148
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,145
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,156
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,152
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,152
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,164
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,184
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,187
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,188
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,192
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,183
 137407 CERTEZE,45-49 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,179
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,162
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,156
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,141
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,142
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,140
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,137
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,145
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,151
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,148
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,160
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,164
 137407 CERTEZE,50-54 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,172
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,177
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,171
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,150
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,154
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,151
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,141
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,140
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,148
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,143
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,145
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,162
 137407 CERTEZE,50-54 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,180
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,158
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,151
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,155
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,149
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,146
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,139
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,137
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,130
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,129
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,131
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,132
 137407 CERTEZE,55-59 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,135
 137407 CERTEZE,55-59 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,135
 137407 CERTEZE,55-59 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,142
 137407 CERTEZE,55-59 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,149
 137407 CERTEZE,55-59 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,161
 137407 CERTEZE,55-59 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,158
 137407 CERTEZE,55-59 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,170
 137407 CERTEZE,55-59 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,161
