 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,221
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,208
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,189
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,183
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,175
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,187
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,181
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,178
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,169
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,160
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,141
 137746 GHERTA MICA,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,141
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,232
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,238
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,221
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,219
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,204
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,194
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,196
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,192
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,165
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,155
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,165
 137746 GHERTA MICA,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,150
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,216
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,210
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,216
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,223
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,221
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,214
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,210
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,187
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,184
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,174
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,180
 137746 GHERTA MICA,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,174
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,170
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,172
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,185
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,201
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,217
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,225
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,228
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,212
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,212
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,198
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,190
 137746 GHERTA MICA,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,192
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,202
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,210
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,222
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,208
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,204
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,210
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,206
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,211
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,218
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,214
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,209
 137746 GHERTA MICA,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,202
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,157
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,161
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,162
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,161
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,171
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,170
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,172
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,184
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,197
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,217
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,221
 137746 GHERTA MICA,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,224
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,176
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,172
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,164
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,183
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,193
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,195
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,208
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,219
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,203
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,199
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,202
 137746 GHERTA MICA,15-19 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,198
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,174
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,169
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,167
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,158
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,143
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,157
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,158
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,157
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,156
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,166
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,170
 137746 GHERTA MICA,15-19 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,175
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,162
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,164
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,166
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,163
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,177
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,171
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,167
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,162
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,181
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,192
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,185
 137746 GHERTA MICA,20-24 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,192
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,170
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,160
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,164
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,169
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,167
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,157
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,152
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,146
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,142
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,127
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,136
 137746 GHERTA MICA,20-24 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,144
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,133
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,136
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,139
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,139
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,140
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,158
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,163
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,168
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,170
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,175
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,168
 137746 GHERTA MICA,25-29 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,159
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,92
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,104
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,118
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,126
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,130
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,146
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,142
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,147
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,150
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,153
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,142
 137746 GHERTA MICA,25-29 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,137
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,114
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,110
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,123
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,113
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,116
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,110
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,126
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,129
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,130
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,139
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,152
 137746 GHERTA MICA,30-34 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,158
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,79
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,75
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,76
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,84
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,96
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,92
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,107
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,115
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,122
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,123
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,137
 137746 GHERTA MICA,30-34 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,136
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,79
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,83
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,84
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,104
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,104
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,111
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,106
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,120
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,116
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,116
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,114
 137746 GHERTA MICA,35-39 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,123
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,68
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,62
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,58
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,58
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,60
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,72
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,71
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,73
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,79
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,92
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,90
 137746 GHERTA MICA,35-39 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,102
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,72
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,71
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,72
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,69
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,73
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,74
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,80
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,78
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,98
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,105
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,108
 137746 GHERTA MICA,40-44 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,100
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,86
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,90
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,86
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,78
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,74
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,62
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,58
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,54
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,53
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,56
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,67
 137746 GHERTA MICA,40-44 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,67
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,72
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,68
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,66
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,56
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,56
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,66
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,61
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,65
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,60
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,60
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,66
 137746 GHERTA MICA,45-49 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,74
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,74
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,77
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,76
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,79
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,83
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,79
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,85
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,84
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,77
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,73
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,63
 137746 GHERTA MICA,45-49 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,59
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,62
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,62
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,63
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,68
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,62
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,59
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,59
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,61
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,52
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,53
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,60
 137746 GHERTA MICA,50-54 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,53
