 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,341
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,346
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,309
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,287
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,281
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,264
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,247
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,258
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,258
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,259
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,271
 137764 HALMEU,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,269
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,314
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,294
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,286
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,262
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,276
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,267
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,271
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,253
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,266
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,260
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,261
 137764 HALMEU,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,261
 137764 HALMEU,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,344
 137764 HALMEU,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,319
