 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,122
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,141
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,139
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,154
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,151
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,158
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,142
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,142
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,139
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,144
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,135
 138164 MICULA,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,148
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,122
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,134
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,133
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,136
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,137
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,142
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,133
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,131
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,129
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,139
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,133
 138164 MICULA,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,131
 138164 MICULA,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,133
 138164 MICULA,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,116
 138164 MICULA,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,141
 138164 MICULA,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,140
 138164 MICULA,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,140
 138164 MICULA,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,138
 138164 MICULA,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,162
 138164 MICULA,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,155
 138164 MICULA,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,164
 138164 MICULA,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,159
