 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,156
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,167
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,150
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,133
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,128
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,130
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,118
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,116
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,123
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,120
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,130
 138208 MOFTIN,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,150
 138208 MOFTIN,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,140
 138208 MOFTIN,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,125
 138208 MOFTIN,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,136
 138208 MOFTIN,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,122
 138208 MOFTIN,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,98
 138208 MOFTIN,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,101
 138208 MOFTIN,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,114
 138208 MOFTIN,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,129
 138208 MOFTIN,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,124
