 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,94
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,73
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,74
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,62
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,54
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,45
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,51
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,51
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,50
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,49
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,49
 138538 PIR,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,47
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,58
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,58
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,67
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,54
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,47
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,40
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,50
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,46
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,55
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,54
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,61
 138538 PIR,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,57
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,67
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,80
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,75
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,86
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,97
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,95
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,80
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,79
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,66
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,58
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,49
 138538 PIR,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,51
