 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,149
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,143
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,131
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,124
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,132
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,128
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,145
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,135
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,140
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,141
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,144
 138663 SANISLAU,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,137
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,177
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,162
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,156
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,136
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,124
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,116
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,119
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,123
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,131
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,131
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,141
 138663 SANISLAU,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,133
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,175
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,165
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,175
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,165
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,160
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,150
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,141
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,131
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,131
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,136
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,131
 138663 SANISLAU,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,141
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,145
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,148
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,153
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,165
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,176
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,183
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,167
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,159
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,140
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,126
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,120
 138663 SANISLAU,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,121
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,215
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,197
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,189
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,178
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,172
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,183
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,178
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,183
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,180
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,172
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,160
 138663 SANISLAU,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,157
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,180
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,182
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,179
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,175
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,159
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,154
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,158
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,161
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,178
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,188
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,192
 138663 SANISLAU,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,178
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,261
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,251
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,248
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,241
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,229
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,216
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,195
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,192
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,177
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,176
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,188
 138663 SANISLAU,15-19 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,183
 138663 SANISLAU,15-19 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,252
 138663 SANISLAU,15-19 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,236
 138663 SANISLAU,15-19 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,217
 138663 SANISLAU,15-19 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,202
 138663 SANISLAU,15-19 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,191
 138663 SANISLAU,15-19 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,181
 138663 SANISLAU,15-19 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,186
 138663 SANISLAU,15-19 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,183
 138663 SANISLAU,15-19 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,177
