 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,103
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,109
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,98
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,105
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,93
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,92
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,87
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,89
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,83
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,85
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,80
 138734 SANTAU,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,80
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,92
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,93
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,89
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,96
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,98
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,110
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,110
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,98
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,92
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,94
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,86
 138734 SANTAU,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,79
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,91
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,90
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,107
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,107
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,111
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,108
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,115
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,105
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,111
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,96
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,91
 138734 SANTAU,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,85
 138734 SANTAU,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,68
 138734 SANTAU,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,67
