 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,207
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,196
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,197
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,182
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,167
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,157
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,158
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,143
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,145
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,152
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,152
 139009 TARNA MARE,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,162
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,246
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,232
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,207
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,207
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,199
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,187
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,174
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,168
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,148
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,143
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,146
 139009 TARNA MARE,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,147
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,195
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,194
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,194
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,200
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,192
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,193
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,183
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,184
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,173
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,162
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,158
 139009 TARNA MARE,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,149
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,198
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,213
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,229
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,225
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,218
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,228
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,224
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,205
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,207
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,198
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,182
 139009 TARNA MARE,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,169
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,209
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,199
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,201
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,186
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,182
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,191
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,192
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,196
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,197
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,193
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,187
 139009 TARNA MARE,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,176
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,234
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,211
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,203
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,198
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,206
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,192
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,209
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,230
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,230
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,223
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,228
 139009 TARNA MARE,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,216
 139009 TARNA MARE,15-19 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,242
