 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,90
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,84
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,68
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,60
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,61
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,58
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,66
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,71
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,75
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,73
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,78
 139107 TIREAM,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,75
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,91
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,85
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,70
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,55
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,40
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,39
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,46
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,51
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,62
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,67
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,66
 139107 TIREAM,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,62
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,72
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,87
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,97
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,104
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,95
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,93
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,88
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,75
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,65
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,64
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,61
 139107 TIREAM,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,66
 139107 TIREAM,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,69
 139107 TIREAM,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,75
 139107 TIREAM,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,84
