 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 155289 GHIRODA,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,156
 155289 GHIRODA,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,133
 155289 GHIRODA,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,126
 155289 GHIRODA,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,122
 155289 GHIRODA,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,110
 155289 GHIRODA,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,95
 155289 GHIRODA,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,91
 155289 GHIRODA,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,140
 155289 GHIRODA,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,129
 155289 GHIRODA,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,113
 155289 GHIRODA,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,119
 155289 GHIRODA,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,103
 155289 GHIRODA,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,82
 155289 GHIRODA,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,75
 155289 GHIRODA,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,152
 155289 GHIRODA,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,169
 155289 GHIRODA,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,172
 155289 GHIRODA,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,158
 155289 GHIRODA,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,156
 155289 GHIRODA,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,150
 155289 GHIRODA,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,128
 155289 GHIRODA,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,158
 155289 GHIRODA,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,157
 155289 GHIRODA,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,164
 155289 GHIRODA,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,150
 155289 GHIRODA,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,150
 155289 GHIRODA,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,146
 155289 GHIRODA,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,132
 155289 GHIRODA,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,188
