 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,1914
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,1794
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,1585
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,1433
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,1292
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,1174
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,1121
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,1744
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,1659
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,1503
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,1331
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,1217
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,1128
 155350 MUNICIPIUL LUGOJ,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,1035
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,1840
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,1878
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,1959
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,1968
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,1926
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,1865
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,1730
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,1792
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,1839
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,1886
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,1893
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,1848
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,1715
 155350 MUNICIPIUL LUGOJ,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,1608
