 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 155458 ORAS DETA,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,301
 155458 ORAS DETA,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,293
 155458 ORAS DETA,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,282
 155458 ORAS DETA,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,265
 155458 ORAS DETA,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,239
 155458 ORAS DETA,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,220
 155458 ORAS DETA,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,212
 155458 ORAS DETA,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,308
 155458 ORAS DETA,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,312
 155458 ORAS DETA,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,298
 155458 ORAS DETA,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,275
 155458 ORAS DETA,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,266
 155458 ORAS DETA,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,256
 155458 ORAS DETA,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,226
 155458 ORAS DETA,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,269
 155458 ORAS DETA,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,283
 155458 ORAS DETA,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,293
 155458 ORAS DETA,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,317
 155458 ORAS DETA,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,320
 155458 ORAS DETA,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,317
 155458 ORAS DETA,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,308
 155458 ORAS DETA,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,273
 155458 ORAS DETA,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,288
 155458 ORAS DETA,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,305
 155458 ORAS DETA,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,330
 155458 ORAS DETA,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,327
 155458 ORAS DETA,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,305
 155458 ORAS DETA,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,311
 155458 ORAS DETA,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,294
 155458 ORAS DETA,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,281
 155458 ORAS DETA,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,293
