 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 155546 BALINT,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,51
 155546 BALINT,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,46
 155546 BALINT,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,46
 155546 BALINT,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,45
 155546 BALINT,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,50
 155546 BALINT,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,49
 155546 BALINT,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,50
 155546 BALINT,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,65
 155546 BALINT,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,67
 155546 BALINT,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,60
 155546 BALINT,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,49
 155546 BALINT,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,47
 155546 BALINT,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,46
 155546 BALINT,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,44
 155546 BALINT,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,50
 155546 BALINT,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,56
 155546 BALINT,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,64
 155546 BALINT,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,57
 155546 BALINT,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,55
 155546 BALINT,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,52
 155546 BALINT,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,46
 155546 BALINT,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,43
 155546 BALINT,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,43
 155546 BALINT,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,50
 155546 BALINT,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,62
