 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 155591 BANLOC,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,225
 155591 BANLOC,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,213
 155591 BANLOC,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,206
 155591 BANLOC,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,190
 155591 BANLOC,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,183
 155591 BANLOC,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,175
 155591 BANLOC,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,175
 155591 BANLOC,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,188
 155591 BANLOC,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,177
 155591 BANLOC,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,167
 155591 BANLOC,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,156
 155591 BANLOC,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,153
 155591 BANLOC,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,145
 155591 BANLOC,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,132
 155591 BANLOC,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,168
 155591 BANLOC,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,188
 155591 BANLOC,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,213
 155591 BANLOC,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,217
 155591 BANLOC,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,220
 155591 BANLOC,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,215
 155591 BANLOC,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,211
 155591 BANLOC,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,150
 155591 BANLOC,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,167
 155591 BANLOC,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,182
 155591 BANLOC,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,196
