 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 155760 BECICHERECU MIC,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,166
 155760 BECICHERECU MIC,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,166
 155760 BECICHERECU MIC,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,164
 155760 BECICHERECU MIC,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,158
 155760 BECICHERECU MIC,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,149
 155760 BECICHERECU MIC,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,130
 155760 BECICHERECU MIC,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,123
 155760 BECICHERECU MIC,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,182
 155760 BECICHERECU MIC,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,161
 155760 BECICHERECU MIC,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,151
 155760 BECICHERECU MIC,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,146
 155760 BECICHERECU MIC,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,124
 155760 BECICHERECU MIC,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,120
 155760 BECICHERECU MIC,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,121
 155760 BECICHERECU MIC,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,195
 155760 BECICHERECU MIC,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,182
 155760 BECICHERECU MIC,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,181
 155760 BECICHERECU MIC,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,184
 155760 BECICHERECU MIC,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,179
 155760 BECICHERECU MIC,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,168
 155760 BECICHERECU MIC,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,165
 155760 BECICHERECU MIC,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,187
 155760 BECICHERECU MIC,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,204
 155760 BECICHERECU MIC,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,197
 155760 BECICHERECU MIC,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,211
 155760 BECICHERECU MIC,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,203
 155760 BECICHERECU MIC,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,199
