 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 155957 BIRNA,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,67
 155957 BIRNA,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,71
 155957 BIRNA,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,75
 155957 BIRNA,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,66
 155957 BIRNA,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,61
 155957 BIRNA,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,70
 155957 BIRNA,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,62
 155957 BIRNA,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,71
 155957 BIRNA,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,65
 155957 BIRNA,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,57
 155957 BIRNA,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,55
 155957 BIRNA,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,52
 155957 BIRNA,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,53
 155957 BIRNA,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,58
 155957 BIRNA,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,68
 155957 BIRNA,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,66
 155957 BIRNA,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,68
 155957 BIRNA,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,72
 155957 BIRNA,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,68
 155957 BIRNA,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,69
 155957 BIRNA,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,69
 155957 BIRNA,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,79
 155957 BIRNA,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,80
 155957 BIRNA,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,85
 155957 BIRNA,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,75
 155957 BIRNA,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,75
 155957 BIRNA,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,67
 155957 BIRNA,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,60
 155957 BIRNA,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,88
 155957 BIRNA,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,86
 155957 BIRNA,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,85
 155957 BIRNA,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,75
 155957 BIRNA,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,67
 155957 BIRNA,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,66
 155957 BIRNA,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,66
 155957 BIRNA,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,80
 155957 BIRNA,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,79
 155957 BIRNA,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,70
 155957 BIRNA,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,76
 155957 BIRNA,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,77
 155957 BIRNA,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,82
 155957 BIRNA,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,81
 155957 BIRNA,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,102
 155957 BIRNA,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,102
 155957 BIRNA,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,95
 155957 BIRNA,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,97
 155957 BIRNA,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,98
 155957 BIRNA,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,86
 155957 BIRNA,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,82
 155957 BIRNA,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,73
 155957 BIRNA,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,69
 155957 BIRNA,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,71
 155957 BIRNA,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,76
 155957 BIRNA,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,79
 155957 BIRNA,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,78
 155957 BIRNA,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,73
 155957 BIRNA,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,90
 155957 BIRNA,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,82
 155957 BIRNA,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,86
 155957 BIRNA,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,91
 155957 BIRNA,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,85
 155957 BIRNA,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,97
 155957 BIRNA,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,93
 155957 BIRNA,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,64
 155957 BIRNA,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,71
 155957 BIRNA,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,66
 155957 BIRNA,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,65
 155957 BIRNA,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,56
 155957 BIRNA,20-24 ani, Feminin, Timis, Anul 1997, Numar persoane,52
 155957 BIRNA,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,55
 155957 BIRNA,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,47
 155957 BIRNA,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,46
 155957 BIRNA,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,54
 155957 BIRNA,25-29 ani, Masculin, Timis, Anul 1995, Numar persoane,60
 155957 BIRNA,25-29 ani, Masculin, Timis, Anul 1996, Numar persoane,76
 155957 BIRNA,25-29 ani, Masculin, Timis, Anul 1997, Numar persoane,81
 155957 BIRNA,25-29 ani, Masculin, Timis, Anul 1998, Numar persoane,75
