 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 156151 BRESTOVAT,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,34
 156151 BRESTOVAT,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,32
 156151 BRESTOVAT,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,28
 156151 BRESTOVAT,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,22
 156151 BRESTOVAT,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,18
 156151 BRESTOVAT,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,19
 156151 BRESTOVAT,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,20
 156151 BRESTOVAT,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,28
 156151 BRESTOVAT,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,26
 156151 BRESTOVAT,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,25
 156151 BRESTOVAT,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,19
 156151 BRESTOVAT,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,19
 156151 BRESTOVAT,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,15
 156151 BRESTOVAT,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,15
 156151 BRESTOVAT,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,30
 156151 BRESTOVAT,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,28
 156151 BRESTOVAT,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,29
 156151 BRESTOVAT,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,35
 156151 BRESTOVAT,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,36
 156151 BRESTOVAT,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,32
 156151 BRESTOVAT,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,32
 156151 BRESTOVAT,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,27
 156151 BRESTOVAT,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,24
 156151 BRESTOVAT,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,23
 156151 BRESTOVAT,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,28
 156151 BRESTOVAT,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,29
 156151 BRESTOVAT,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,24
 156151 BRESTOVAT,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,25
 156151 BRESTOVAT,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,24
 156151 BRESTOVAT,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,23
 156151 BRESTOVAT,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,28
 156151 BRESTOVAT,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,30
 156151 BRESTOVAT,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,29
 156151 BRESTOVAT,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,29
 156151 BRESTOVAT,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,29
 156151 BRESTOVAT,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,21
 156151 BRESTOVAT,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,22
 156151 BRESTOVAT,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,22
 156151 BRESTOVAT,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,21
 156151 BRESTOVAT,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,21
 156151 BRESTOVAT,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,26
 156151 BRESTOVAT,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,24
 156151 BRESTOVAT,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,26
 156151 BRESTOVAT,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,27
 156151 BRESTOVAT,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,25
 156151 BRESTOVAT,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,23
 156151 BRESTOVAT,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,22
 156151 BRESTOVAT,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,24
 156151 BRESTOVAT,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,23
 156151 BRESTOVAT,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,17
 156151 BRESTOVAT,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,19
 156151 BRESTOVAT,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,22
 156151 BRESTOVAT,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,23
 156151 BRESTOVAT,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,18
 156151 BRESTOVAT,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,19
 156151 BRESTOVAT,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,22
