 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 156357 ORAS CIACOVA,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,238
 156357 ORAS CIACOVA,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,243
 156357 ORAS CIACOVA,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,238
 156357 ORAS CIACOVA,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,226
 156357 ORAS CIACOVA,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,231
 156357 ORAS CIACOVA,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,216
 156357 ORAS CIACOVA,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,198
 156357 ORAS CIACOVA,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,303
 156357 ORAS CIACOVA,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,272
 156357 ORAS CIACOVA,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,266
 156357 ORAS CIACOVA,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,245
 156357 ORAS CIACOVA,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,208
 156357 ORAS CIACOVA,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,192
 156357 ORAS CIACOVA,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,204
 156357 ORAS CIACOVA,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,262
 156357 ORAS CIACOVA,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,272
 156357 ORAS CIACOVA,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,276
 156357 ORAS CIACOVA,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,280
 156357 ORAS CIACOVA,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,269
 156357 ORAS CIACOVA,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,245
 156357 ORAS CIACOVA,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,249
 156357 ORAS CIACOVA,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,249
 156357 ORAS CIACOVA,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,268
 156357 ORAS CIACOVA,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,282
 156357 ORAS CIACOVA,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,304
 156357 ORAS CIACOVA,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,328
 156357 ORAS CIACOVA,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,312
 156357 ORAS CIACOVA,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,274
 156357 ORAS CIACOVA,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,256
 156357 ORAS CIACOVA,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,243
 156357 ORAS CIACOVA,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,248
 156357 ORAS CIACOVA,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,248
 156357 ORAS CIACOVA,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,254
 156357 ORAS CIACOVA,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,268
