 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 156473 COSTEIU,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,118
 156473 COSTEIU,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,108
 156473 COSTEIU,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,102
 156473 COSTEIU,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,88
 156473 COSTEIU,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,92
 156473 COSTEIU,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,90
 156473 COSTEIU,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,86
 156473 COSTEIU,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,95
 156473 COSTEIU,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,85
 156473 COSTEIU,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,76
 156473 COSTEIU,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,79
 156473 COSTEIU,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,88
 156473 COSTEIU,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,76
 156473 COSTEIU,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,77
 156473 COSTEIU,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,86
 156473 COSTEIU,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,103
 156473 COSTEIU,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,114
 156473 COSTEIU,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,123
 156473 COSTEIU,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,128
 156473 COSTEIU,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,125
 156473 COSTEIU,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,108
 156473 COSTEIU,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,104
 156473 COSTEIU,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,108
 156473 COSTEIU,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,116
 156473 COSTEIU,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,111
 156473 COSTEIU,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,104
 156473 COSTEIU,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,96
 156473 COSTEIU,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,89
 156473 COSTEIU,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,98
 156473 COSTEIU,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,89
 156473 COSTEIU,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,77
 156473 COSTEIU,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,89
 156473 COSTEIU,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,89
 156473 COSTEIU,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,91
 156473 COSTEIU,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,107
 156473 COSTEIU,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,112
 156473 COSTEIU,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,100
 156473 COSTEIU,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,103
 156473 COSTEIU,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,105
 156473 COSTEIU,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,102
 156473 COSTEIU,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,110
 156473 COSTEIU,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,117
 156473 COSTEIU,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,106
 156473 COSTEIU,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,110
 156473 COSTEIU,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,116
 156473 COSTEIU,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,108
 156473 COSTEIU,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,101
 156473 COSTEIU,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,102
 156473 COSTEIU,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,95
 156473 COSTEIU,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,124
