 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 157193 GHIZELA,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,37
 157193 GHIZELA,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,39
 157193 GHIZELA,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,40
 157193 GHIZELA,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,33
 157193 GHIZELA,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,40
 157193 GHIZELA,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,40
 157193 GHIZELA,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,42
 157193 GHIZELA,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,31
 157193 GHIZELA,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,32
 157193 GHIZELA,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,34
 157193 GHIZELA,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,31
 157193 GHIZELA,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,33
 157193 GHIZELA,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,35
 157193 GHIZELA,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,33
 157193 GHIZELA,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,43
 157193 GHIZELA,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,39
 157193 GHIZELA,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,42
 157193 GHIZELA,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,45
 157193 GHIZELA,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,39
 157193 GHIZELA,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,40
 157193 GHIZELA,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,40
 157193 GHIZELA,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,30
 157193 GHIZELA,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,33
 157193 GHIZELA,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,35
 157193 GHIZELA,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,36
 157193 GHIZELA,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,30
 157193 GHIZELA,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,32
 157193 GHIZELA,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,34
 157193 GHIZELA,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,48
 157193 GHIZELA,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,50
 157193 GHIZELA,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,49
 157193 GHIZELA,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,41
 157193 GHIZELA,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,47
 157193 GHIZELA,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,39
 157193 GHIZELA,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,37
 157193 GHIZELA,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,37
 157193 GHIZELA,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,36
 157193 GHIZELA,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,38
 157193 GHIZELA,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,36
 157193 GHIZELA,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,34
 157193 GHIZELA,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,34
 157193 GHIZELA,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,34
 157193 GHIZELA,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,50
 157193 GHIZELA,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,45
 157193 GHIZELA,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,54
 157193 GHIZELA,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,59
 157193 GHIZELA,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,49
 157193 GHIZELA,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,55
 157193 GHIZELA,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,55
 157193 GHIZELA,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,54
 157193 GHIZELA,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,51
 157193 GHIZELA,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,47
 157193 GHIZELA,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,42
 157193 GHIZELA,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,45
 157193 GHIZELA,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,45
 157193 GHIZELA,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,41
 157193 GHIZELA,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,65
 157193 GHIZELA,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,61
