 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 157736 MANASTIUR,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,65
 157736 MANASTIUR,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,69
 157736 MANASTIUR,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,71
 157736 MANASTIUR,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,83
 157736 MANASTIUR,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,80
 157736 MANASTIUR,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,71
 157736 MANASTIUR,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,71
 157736 MANASTIUR,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,72
 157736 MANASTIUR,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,79
 157736 MANASTIUR,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,75
 157736 MANASTIUR,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,76
 157736 MANASTIUR,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,72
 157736 MANASTIUR,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,66
 157736 MANASTIUR,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,62
 157736 MANASTIUR,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,50
 157736 MANASTIUR,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,51
 157736 MANASTIUR,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,55
 157736 MANASTIUR,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,58
 157736 MANASTIUR,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,67
 157736 MANASTIUR,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,66
 157736 MANASTIUR,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,69
 157736 MANASTIUR,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,59
 157736 MANASTIUR,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,59
 157736 MANASTIUR,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,75
 157736 MANASTIUR,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,73
 157736 MANASTIUR,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,69
 157736 MANASTIUR,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,73
 157736 MANASTIUR,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,81
 157736 MANASTIUR,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,66
 157736 MANASTIUR,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,57
 157736 MANASTIUR,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,54
 157736 MANASTIUR,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,47
 157736 MANASTIUR,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,41
 157736 MANASTIUR,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,52
 157736 MANASTIUR,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,55
 157736 MANASTIUR,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,55
 157736 MANASTIUR,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,58
 157736 MANASTIUR,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,48
 157736 MANASTIUR,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,43
 157736 MANASTIUR,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,54
 157736 MANASTIUR,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,57
 157736 MANASTIUR,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,58
 157736 MANASTIUR,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,92
 157736 MANASTIUR,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,102
 157736 MANASTIUR,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,99
 157736 MANASTIUR,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,89
 157736 MANASTIUR,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,81
 157736 MANASTIUR,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,62
 157736 MANASTIUR,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,59
