 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 158109 PERIAM,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,344
 158109 PERIAM,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,312
 158109 PERIAM,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,291
 158109 PERIAM,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,263
 158109 PERIAM,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,235
 158109 PERIAM,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,212
 158109 PERIAM,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,207
 158109 PERIAM,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,282
 158109 PERIAM,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,262
 158109 PERIAM,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,237
 158109 PERIAM,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,235
 158109 PERIAM,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,222
 158109 PERIAM,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,216
 158109 PERIAM,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,222
 158109 PERIAM,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,267
 158109 PERIAM,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,297
 158109 PERIAM,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,326
 158109 PERIAM,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,346
 158109 PERIAM,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,340
 158109 PERIAM,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,342
 158109 PERIAM,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,304
 158109 PERIAM,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,246
 158109 PERIAM,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,266
 158109 PERIAM,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,287
 158109 PERIAM,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,294
 158109 PERIAM,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,296
 158109 PERIAM,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,290
 158109 PERIAM,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,267
 158109 PERIAM,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,311
 158109 PERIAM,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,283
 158109 PERIAM,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,276
 158109 PERIAM,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,248
 158109 PERIAM,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,260
 158109 PERIAM,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,264
 158109 PERIAM,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,296
 158109 PERIAM,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,258
 158109 PERIAM,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,238
 158109 PERIAM,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,232
 158109 PERIAM,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,236
 158109 PERIAM,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,242
 158109 PERIAM,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,241
 158109 PERIAM,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,259
 158109 PERIAM,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,336
 158109 PERIAM,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,352
 158109 PERIAM,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,340
 158109 PERIAM,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,337
 158109 PERIAM,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,337
 158109 PERIAM,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,315
 158109 PERIAM,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,286
 158109 PERIAM,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,278
 158109 PERIAM,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,298
 158109 PERIAM,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,294
 158109 PERIAM,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,270
 158109 PERIAM,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,275
 158109 PERIAM,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,272
 158109 PERIAM,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,247
 158109 PERIAM,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,309
 158109 PERIAM,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,298
 158109 PERIAM,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,294
 158109 PERIAM,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,311
 158109 PERIAM,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,326
 158109 PERIAM,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,344
 158109 PERIAM,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,357
 158109 PERIAM,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,291
 158109 PERIAM,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,279
 158109 PERIAM,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,281
 158109 PERIAM,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,291
 158109 PERIAM,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,283
 158109 PERIAM,20-24 ani, Feminin, Timis, Anul 1997, Numar persoane,286
 158109 PERIAM,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,306
 158109 PERIAM,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,194
 158109 PERIAM,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,231
 158109 PERIAM,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,255
 158109 PERIAM,25-29 ani, Masculin, Timis, Anul 1995, Numar persoane,277
 158109 PERIAM,25-29 ani, Masculin, Timis, Anul 1996, Numar persoane,298
 158109 PERIAM,25-29 ani, Masculin, Timis, Anul 1997, Numar persoane,303
 158109 PERIAM,25-29 ani, Masculin, Timis, Anul 1998, Numar persoane,291
 158109 PERIAM,25-29 ani, Feminin, Timis, Anul 1992, Numar persoane,163
 158109 PERIAM,25-29 ani, Feminin, Timis, Anul 1993, Numar persoane,186
 158109 PERIAM,25-29 ani, Feminin, Timis, Anul 1994, Numar persoane,211
 158109 PERIAM,25-29 ani, Feminin, Timis, Anul 1995, Numar persoane,247
 158109 PERIAM,25-29 ani, Feminin, Timis, Anul 1996, Numar persoane,271
 158109 PERIAM,25-29 ani, Feminin, Timis, Anul 1997, Numar persoane,287
 158109 PERIAM,25-29 ani, Feminin, Timis, Anul 1998, Numar persoane,274
 158109 PERIAM,30-34 ani, Masculin, Timis, Anul 1992, Numar persoane,230
 158109 PERIAM,30-34 ani, Masculin, Timis, Anul 1993, Numar persoane,217
