 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 158449 SACOSU TURCESC,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,97
 158449 SACOSU TURCESC,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,87
 158449 SACOSU TURCESC,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,84
 158449 SACOSU TURCESC,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,72
 158449 SACOSU TURCESC,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,67
 158449 SACOSU TURCESC,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,63
 158449 SACOSU TURCESC,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,62
 158449 SACOSU TURCESC,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,105
 158449 SACOSU TURCESC,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,98
 158449 SACOSU TURCESC,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,84
 158449 SACOSU TURCESC,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,66
 158449 SACOSU TURCESC,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,66
 158449 SACOSU TURCESC,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,68
 158449 SACOSU TURCESC,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,64
 158449 SACOSU TURCESC,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,85
 158449 SACOSU TURCESC,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,94
 158449 SACOSU TURCESC,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,90
 158449 SACOSU TURCESC,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,94
 158449 SACOSU TURCESC,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,99
 158449 SACOSU TURCESC,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,89
 158449 SACOSU TURCESC,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,81
 158449 SACOSU TURCESC,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,65
 158449 SACOSU TURCESC,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,82
 158449 SACOSU TURCESC,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,94
 158449 SACOSU TURCESC,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,101
 158449 SACOSU TURCESC,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,98
 158449 SACOSU TURCESC,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,95
 158449 SACOSU TURCESC,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,87
 158449 SACOSU TURCESC,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,100
 158449 SACOSU TURCESC,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,84
 158449 SACOSU TURCESC,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,91
 158449 SACOSU TURCESC,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,90
 158449 SACOSU TURCESC,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,85
 158449 SACOSU TURCESC,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,90
 158449 SACOSU TURCESC,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,94
 158449 SACOSU TURCESC,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,73
 158449 SACOSU TURCESC,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,68
 158449 SACOSU TURCESC,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,63
 158449 SACOSU TURCESC,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,67
 158449 SACOSU TURCESC,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,64
 158449 SACOSU TURCESC,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,68
 158449 SACOSU TURCESC,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,78
 158449 SACOSU TURCESC,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,96
 158449 SACOSU TURCESC,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,105
 158449 SACOSU TURCESC,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,98
