 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,101
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,99
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,102
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,101
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,99
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,89
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,81
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,90
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,98
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,102
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,98
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,93
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,93
 159259 VICTOR VLAD DELAMARINA,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,78
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,87
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,101
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,107
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,110
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,120
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,113
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,109
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,74
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,74
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,81
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,99
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,104
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,101
 159259 VICTOR VLAD DELAMARINA,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,111
 159259 VICTOR VLAD DELAMARINA,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,61
 159259 VICTOR VLAD DELAMARINA,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,64
 159259 VICTOR VLAD DELAMARINA,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,65
 159259 VICTOR VLAD DELAMARINA,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,75
 159259 VICTOR VLAD DELAMARINA,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,95
 159259 VICTOR VLAD DELAMARINA,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,105
 159259 VICTOR VLAD DELAMARINA,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,115
 159259 VICTOR VLAD DELAMARINA,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,64
 159259 VICTOR VLAD DELAMARINA,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,74
 159259 VICTOR VLAD DELAMARINA,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,69
