 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 159339 VOITEG,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,80
 159339 VOITEG,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,75
 159339 VOITEG,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,73
 159339 VOITEG,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,73
 159339 VOITEG,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,78
 159339 VOITEG,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,76
 159339 VOITEG,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,75
 159339 VOITEG,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,85
 159339 VOITEG,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,70
 159339 VOITEG,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,69
 159339 VOITEG,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,67
 159339 VOITEG,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,62
 159339 VOITEG,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,60
 159339 VOITEG,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,56
 159339 VOITEG,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,75
 159339 VOITEG,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,82
 159339 VOITEG,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,89
 159339 VOITEG,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,77
 159339 VOITEG,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,77
 159339 VOITEG,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,81
 159339 VOITEG,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,78
 159339 VOITEG,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,64
 159339 VOITEG,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,86
 159339 VOITEG,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,87
 159339 VOITEG,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,89
 159339 VOITEG,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,89
 159339 VOITEG,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,85
 159339 VOITEG,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,70
 159339 VOITEG,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,77
 159339 VOITEG,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,82
 159339 VOITEG,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,83
 159339 VOITEG,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,78
 159339 VOITEG,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,79
 159339 VOITEG,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,78
 159339 VOITEG,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,82
 159339 VOITEG,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,104
 159339 VOITEG,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,89
 159339 VOITEG,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,81
 159339 VOITEG,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,79
 159339 VOITEG,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,70
 159339 VOITEG,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,65
 159339 VOITEG,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,87
 159339 VOITEG,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,117
 159339 VOITEG,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,106
 159339 VOITEG,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,84
 159339 VOITEG,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,87
 159339 VOITEG,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,91
 159339 VOITEG,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,82
 159339 VOITEG,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,83
 159339 VOITEG,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,107
