 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 159375 CHECEA,0- 4 ani, Masculin, Timis, Anul 2005, Numar persoane,70
 159375 CHECEA,0- 4 ani, Masculin, Timis, Anul 2006, Numar persoane,74
 159375 CHECEA,0- 4 ani, Feminin, Timis, Anul 2005, Numar persoane,58
 159375 CHECEA,0- 4 ani, Feminin, Timis, Anul 2006, Numar persoane,63
 159375 CHECEA,5- 9 ani, Masculin, Timis, Anul 2005, Numar persoane,51
 159375 CHECEA,5- 9 ani, Masculin, Timis, Anul 2006, Numar persoane,59
 159375 CHECEA,5- 9 ani, Feminin, Timis, Anul 2005, Numar persoane,68
 159375 CHECEA,5- 9 ani, Feminin, Timis, Anul 2006, Numar persoane,70
 159375 CHECEA,10-14 ani, Masculin, Timis, Anul 2005, Numar persoane,56
 159375 CHECEA,10-14 ani, Masculin, Timis, Anul 2006, Numar persoane,52
 159375 CHECEA,10-14 ani, Feminin, Timis, Anul 2005, Numar persoane,65
 159375 CHECEA,10-14 ani, Feminin, Timis, Anul 2006, Numar persoane,57
 159375 CHECEA,15-19 ani, Masculin, Timis, Anul 2005, Numar persoane,87
 159375 CHECEA,15-19 ani, Masculin, Timis, Anul 2006, Numar persoane,87
 159375 CHECEA,15-19 ani, Feminin, Timis, Anul 2005, Numar persoane,87
 159375 CHECEA,15-19 ani, Feminin, Timis, Anul 2006, Numar persoane,96
 159375 CHECEA,20-24 ani, Masculin, Timis, Anul 2005, Numar persoane,77
 159375 CHECEA,20-24 ani, Masculin, Timis, Anul 2006, Numar persoane,79
 159375 CHECEA,20-24 ani, Feminin, Timis, Anul 2005, Numar persoane,58
 159375 CHECEA,20-24 ani, Feminin, Timis, Anul 2006, Numar persoane,71
 159375 CHECEA,25-29 ani, Masculin, Timis, Anul 2005, Numar persoane,78
 159375 CHECEA,25-29 ani, Masculin, Timis, Anul 2006, Numar persoane,79
 159375 CHECEA,25-29 ani, Feminin, Timis, Anul 2005, Numar persoane,72
 159375 CHECEA,25-29 ani, Feminin, Timis, Anul 2006, Numar persoane,73
 159375 CHECEA,30-34 ani, Masculin, Timis, Anul 2005, Numar persoane,72
 159375 CHECEA,30-34 ani, Masculin, Timis, Anul 2006, Numar persoane,79
 159375 CHECEA,30-34 ani, Feminin, Timis, Anul 2005, Numar persoane,80
 159375 CHECEA,30-34 ani, Feminin, Timis, Anul 2006, Numar persoane,78
 159375 CHECEA,35-39 ani, Masculin, Timis, Anul 2005, Numar persoane,66
 159375 CHECEA,35-39 ani, Masculin, Timis, Anul 2006, Numar persoane,73
 159375 CHECEA,35-39 ani, Feminin, Timis, Anul 2005, Numar persoane,59
 159375 CHECEA,35-39 ani, Feminin, Timis, Anul 2006, Numar persoane,74
 159375 CHECEA,40-44 ani, Masculin, Timis, Anul 2005, Numar persoane,52
 159375 CHECEA,40-44 ani, Masculin, Timis, Anul 2006, Numar persoane,55
 159375 CHECEA,40-44 ani, Feminin, Timis, Anul 2005, Numar persoane,49
 159375 CHECEA,40-44 ani, Feminin, Timis, Anul 2006, Numar persoane,43
 159375 CHECEA,45-49 ani, Masculin, Timis, Anul 2005, Numar persoane,64
 159375 CHECEA,45-49 ani, Masculin, Timis, Anul 2006, Numar persoane,65
 159375 CHECEA,45-49 ani, Feminin, Timis, Anul 2005, Numar persoane,61
 159375 CHECEA,45-49 ani, Feminin, Timis, Anul 2006, Numar persoane,63
 159375 CHECEA,50-54 ani, Masculin, Timis, Anul 2005, Numar persoane,43
 159375 CHECEA,50-54 ani, Masculin, Timis, Anul 2006, Numar persoane,48
 159375 CHECEA,50-54 ani, Feminin, Timis, Anul 2005, Numar persoane,37
 159375 CHECEA,50-54 ani, Feminin, Timis, Anul 2006, Numar persoane,44
 159375 CHECEA,55-59 ani, Masculin, Timis, Anul 2005, Numar persoane,34
 159375 CHECEA,55-59 ani, Masculin, Timis, Anul 2006, Numar persoane,29
 159375 CHECEA,55-59 ani, Feminin, Timis, Anul 2005, Numar persoane,39
 159375 CHECEA,55-59 ani, Feminin, Timis, Anul 2006, Numar persoane,41
 159375 CHECEA,60-64 ani, Masculin, Timis, Anul 2005, Numar persoane,32
 159375 CHECEA,60-64 ani, Masculin, Timis, Anul 2006, Numar persoane,32
 159375 CHECEA,60-64 ani, Feminin, Timis, Anul 2005, Numar persoane,41
 159375 CHECEA,60-64 ani, Feminin, Timis, Anul 2006, Numar persoane,37
 159375 CHECEA,65-69 ani, Masculin, Timis, Anul 2005, Numar persoane,27
 159375 CHECEA,65-69 ani, Masculin, Timis, Anul 2006, Numar persoane,25
 159375 CHECEA,65-69 ani, Feminin, Timis, Anul 2005, Numar persoane,54
 159375 CHECEA,65-69 ani, Feminin, Timis, Anul 2006, Numar persoane,52
 159375 CHECEA,70-74 ani, Masculin, Timis, Anul 2005, Numar persoane,21
 159375 CHECEA,70-74 ani, Masculin, Timis, Anul 2006, Numar persoane,21
 159375 CHECEA,70-74 ani, Feminin, Timis, Anul 2005, Numar persoane,49
 159375 CHECEA,70-74 ani, Feminin, Timis, Anul 2006, Numar persoane,48
 159375 CHECEA,75-79 ani, Masculin, Timis, Anul 2005, Numar persoane,21
 159375 CHECEA,75-79 ani, Masculin, Timis, Anul 2006, Numar persoane,19
 159375 CHECEA,75-79 ani, Feminin, Timis, Anul 2005, Numar persoane,40
 159375 CHECEA,75-79 ani, Feminin, Timis, Anul 2006, Numar persoane,39
 159375 CHECEA,80-84 ani, Masculin, Timis, Anul 2005, Numar persoane,13
 159375 CHECEA,80-84 ani, Masculin, Timis, Anul 2006, Numar persoane,11
 159375 CHECEA,80-84 ani, Feminin, Timis, Anul 2005, Numar persoane,21
 159375 CHECEA,80-84 ani, Feminin, Timis, Anul 2006, Numar persoane,20
 159375 CHECEA,85 ani si peste, Masculin, Timis, Anul 2005, Numar persoane,5
 159375 CHECEA,85 ani si peste, Masculin, Timis, Anul 2006, Numar persoane,7
 159375 CHECEA,85 ani si peste, Feminin, Timis, Anul 2005, Numar persoane,10
 159375 CHECEA,85 ani si peste, Feminin, Timis, Anul 2006, Numar persoane,10
 159375 CHECEA,0- 4 ani, Masculin, Timis, Anul 2007, Numar persoane,88
 159375 CHECEA,0- 4 ani, Masculin, Timis, Anul 2008, Numar persoane,96
 159375 CHECEA,0- 4 ani, Masculin, Timis, Anul 2009, Numar persoane,96
 159375 CHECEA,0- 4 ani, Masculin, Timis, Anul 2010, Numar persoane,87
 159375 CHECEA,0- 4 ani, Masculin, Timis, Anul 2011, Numar persoane,72
 159375 CHECEA,0- 4 ani, Masculin, Timis, Anul 2012, Numar persoane,68
