 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 159400 GHILAD,0- 4 ani, Masculin, Timis, Anul 2005, Numar persoane,55
 159400 GHILAD,0- 4 ani, Masculin, Timis, Anul 2006, Numar persoane,58
 159400 GHILAD,0- 4 ani, Feminin, Timis, Anul 2005, Numar persoane,52
 159400 GHILAD,0- 4 ani, Feminin, Timis, Anul 2006, Numar persoane,57
 159400 GHILAD,5- 9 ani, Masculin, Timis, Anul 2005, Numar persoane,47
 159400 GHILAD,5- 9 ani, Masculin, Timis, Anul 2006, Numar persoane,42
 159400 GHILAD,5- 9 ani, Feminin, Timis, Anul 2005, Numar persoane,56
 159400 GHILAD,5- 9 ani, Feminin, Timis, Anul 2006, Numar persoane,54
 159400 GHILAD,10-14 ani, Masculin, Timis, Anul 2005, Numar persoane,52
 159400 GHILAD,10-14 ani, Masculin, Timis, Anul 2006, Numar persoane,55
 159400 GHILAD,10-14 ani, Feminin, Timis, Anul 2005, Numar persoane,64
 159400 GHILAD,10-14 ani, Feminin, Timis, Anul 2006, Numar persoane,63
 159400 GHILAD,15-19 ani, Masculin, Timis, Anul 2005, Numar persoane,72
 159400 GHILAD,15-19 ani, Masculin, Timis, Anul 2006, Numar persoane,68
 159400 GHILAD,15-19 ani, Feminin, Timis, Anul 2005, Numar persoane,88
 159400 GHILAD,15-19 ani, Feminin, Timis, Anul 2006, Numar persoane,82
 159400 GHILAD,20-24 ani, Masculin, Timis, Anul 2005, Numar persoane,76
 159400 GHILAD,20-24 ani, Masculin, Timis, Anul 2006, Numar persoane,76
 159400 GHILAD,20-24 ani, Feminin, Timis, Anul 2005, Numar persoane,71
 159400 GHILAD,20-24 ani, Feminin, Timis, Anul 2006, Numar persoane,69
 159400 GHILAD,25-29 ani, Masculin, Timis, Anul 2005, Numar persoane,82
 159400 GHILAD,25-29 ani, Masculin, Timis, Anul 2006, Numar persoane,84
 159400 GHILAD,25-29 ani, Feminin, Timis, Anul 2005, Numar persoane,59
 159400 GHILAD,25-29 ani, Feminin, Timis, Anul 2006, Numar persoane,64
 159400 GHILAD,30-34 ani, Masculin, Timis, Anul 2005, Numar persoane,88
 159400 GHILAD,30-34 ani, Masculin, Timis, Anul 2006, Numar persoane,85
 159400 GHILAD,30-34 ani, Feminin, Timis, Anul 2005, Numar persoane,66
 159400 GHILAD,30-34 ani, Feminin, Timis, Anul 2006, Numar persoane,69
 159400 GHILAD,35-39 ani, Masculin, Timis, Anul 2005, Numar persoane,62
 159400 GHILAD,35-39 ani, Masculin, Timis, Anul 2006, Numar persoane,70
