 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 159428 IECEA MARE,0- 4 ani, Masculin, Timis, Anul 2005, Numar persoane,81
 159428 IECEA MARE,0- 4 ani, Masculin, Timis, Anul 2006, Numar persoane,78
 159428 IECEA MARE,0- 4 ani, Feminin, Timis, Anul 2005, Numar persoane,66
 159428 IECEA MARE,0- 4 ani, Feminin, Timis, Anul 2006, Numar persoane,59
 159428 IECEA MARE,5- 9 ani, Masculin, Timis, Anul 2005, Numar persoane,87
 159428 IECEA MARE,5- 9 ani, Masculin, Timis, Anul 2006, Numar persoane,88
 159428 IECEA MARE,5- 9 ani, Feminin, Timis, Anul 2005, Numar persoane,69
 159428 IECEA MARE,5- 9 ani, Feminin, Timis, Anul 2006, Numar persoane,68
 159428 IECEA MARE,10-14 ani, Masculin, Timis, Anul 2005, Numar persoane,103
 159428 IECEA MARE,10-14 ani, Masculin, Timis, Anul 2006, Numar persoane,97
 159428 IECEA MARE,10-14 ani, Feminin, Timis, Anul 2005, Numar persoane,100
 159428 IECEA MARE,10-14 ani, Feminin, Timis, Anul 2006, Numar persoane,103
 159428 IECEA MARE,15-19 ani, Masculin, Timis, Anul 2005, Numar persoane,125
 159428 IECEA MARE,15-19 ani, Masculin, Timis, Anul 2006, Numar persoane,131
 159428 IECEA MARE,15-19 ani, Feminin, Timis, Anul 2005, Numar persoane,115
 159428 IECEA MARE,15-19 ani, Feminin, Timis, Anul 2006, Numar persoane,114
 159428 IECEA MARE,20-24 ani, Masculin, Timis, Anul 2005, Numar persoane,98
 159428 IECEA MARE,20-24 ani, Masculin, Timis, Anul 2006, Numar persoane,96
 159428 IECEA MARE,20-24 ani, Feminin, Timis, Anul 2005, Numar persoane,97
 159428 IECEA MARE,20-24 ani, Feminin, Timis, Anul 2006, Numar persoane,90
 159428 IECEA MARE,25-29 ani, Masculin, Timis, Anul 2005, Numar persoane,101
 159428 IECEA MARE,25-29 ani, Masculin, Timis, Anul 2006, Numar persoane,109
 159428 IECEA MARE,25-29 ani, Feminin, Timis, Anul 2005, Numar persoane,101
 159428 IECEA MARE,25-29 ani, Feminin, Timis, Anul 2006, Numar persoane,107
 159428 IECEA MARE,30-34 ani, Masculin, Timis, Anul 2005, Numar persoane,91
 159428 IECEA MARE,30-34 ani, Masculin, Timis, Anul 2006, Numar persoane,91
 159428 IECEA MARE,30-34 ani, Feminin, Timis, Anul 2005, Numar persoane,112
 159428 IECEA MARE,30-34 ani, Feminin, Timis, Anul 2006, Numar persoane,106
 159428 IECEA MARE,35-39 ani, Masculin, Timis, Anul 2005, Numar persoane,111
 159428 IECEA MARE,35-39 ani, Masculin, Timis, Anul 2006, Numar persoane,115
 159428 IECEA MARE,35-39 ani, Feminin, Timis, Anul 2005, Numar persoane,92
 159428 IECEA MARE,35-39 ani, Feminin, Timis, Anul 2006, Numar persoane,101
 159428 IECEA MARE,40-44 ani, Masculin, Timis, Anul 2005, Numar persoane,90
 159428 IECEA MARE,40-44 ani, Masculin, Timis, Anul 2006, Numar persoane,94
 159428 IECEA MARE,40-44 ani, Feminin, Timis, Anul 2005, Numar persoane,67
 159428 IECEA MARE,40-44 ani, Feminin, Timis, Anul 2006, Numar persoane,75
 159428 IECEA MARE,45-49 ani, Masculin, Timis, Anul 2005, Numar persoane,84
 159428 IECEA MARE,45-49 ani, Masculin, Timis, Anul 2006, Numar persoane,83
 159428 IECEA MARE,45-49 ani, Feminin, Timis, Anul 2005, Numar persoane,55
 159428 IECEA MARE,45-49 ani, Feminin, Timis, Anul 2006, Numar persoane,57
 159428 IECEA MARE,50-54 ani, Masculin, Timis, Anul 2005, Numar persoane,52
 159428 IECEA MARE,50-54 ani, Masculin, Timis, Anul 2006, Numar persoane,60
 159428 IECEA MARE,50-54 ani, Feminin, Timis, Anul 2005, Numar persoane,62
 159428 IECEA MARE,50-54 ani, Feminin, Timis, Anul 2006, Numar persoane,62
 159428 IECEA MARE,55-59 ani, Masculin, Timis, Anul 2005, Numar persoane,44
 159428 IECEA MARE,55-59 ani, Masculin, Timis, Anul 2006, Numar persoane,48
 159428 IECEA MARE,55-59 ani, Feminin, Timis, Anul 2005, Numar persoane,69
 159428 IECEA MARE,55-59 ani, Feminin, Timis, Anul 2006, Numar persoane,72
 159428 IECEA MARE,60-64 ani, Masculin, Timis, Anul 2005, Numar persoane,42
 159428 IECEA MARE,60-64 ani, Masculin, Timis, Anul 2006, Numar persoane,32
