 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 159446 PADURENI,0- 4 ani, Masculin, Timis, Anul 2005, Numar persoane,34
 159446 PADURENI,0- 4 ani, Masculin, Timis, Anul 2006, Numar persoane,34
 159446 PADURENI,0- 4 ani, Feminin, Timis, Anul 2005, Numar persoane,39
 159446 PADURENI,0- 4 ani, Feminin, Timis, Anul 2006, Numar persoane,37
 159446 PADURENI,5- 9 ani, Masculin, Timis, Anul 2005, Numar persoane,36
 159446 PADURENI,5- 9 ani, Masculin, Timis, Anul 2006, Numar persoane,35
 159446 PADURENI,5- 9 ani, Feminin, Timis, Anul 2005, Numar persoane,40
 159446 PADURENI,5- 9 ani, Feminin, Timis, Anul 2006, Numar persoane,43
 159446 PADURENI,10-14 ani, Masculin, Timis, Anul 2005, Numar persoane,48
 159446 PADURENI,10-14 ani, Masculin, Timis, Anul 2006, Numar persoane,44
 159446 PADURENI,10-14 ani, Feminin, Timis, Anul 2005, Numar persoane,66
 159446 PADURENI,10-14 ani, Feminin, Timis, Anul 2006, Numar persoane,69
 159446 PADURENI,15-19 ani, Masculin, Timis, Anul 2005, Numar persoane,58
 159446 PADURENI,15-19 ani, Masculin, Timis, Anul 2006, Numar persoane,58
 159446 PADURENI,15-19 ani, Feminin, Timis, Anul 2005, Numar persoane,58
 159446 PADURENI,15-19 ani, Feminin, Timis, Anul 2006, Numar persoane,60
 159446 PADURENI,20-24 ani, Masculin, Timis, Anul 2005, Numar persoane,62
 159446 PADURENI,20-24 ani, Masculin, Timis, Anul 2006, Numar persoane,63
 159446 PADURENI,20-24 ani, Feminin, Timis, Anul 2005, Numar persoane,43
 159446 PADURENI,20-24 ani, Feminin, Timis, Anul 2006, Numar persoane,44
 159446 PADURENI,25-29 ani, Masculin, Timis, Anul 2005, Numar persoane,56
 159446 PADURENI,25-29 ani, Masculin, Timis, Anul 2006, Numar persoane,59
 159446 PADURENI,25-29 ani, Feminin, Timis, Anul 2005, Numar persoane,49
 159446 PADURENI,25-29 ani, Feminin, Timis, Anul 2006, Numar persoane,50
 159446 PADURENI,30-34 ani, Masculin, Timis, Anul 2005, Numar persoane,51
 159446 PADURENI,30-34 ani, Masculin, Timis, Anul 2006, Numar persoane,53
 159446 PADURENI,30-34 ani, Feminin, Timis, Anul 2005, Numar persoane,59
 159446 PADURENI,30-34 ani, Feminin, Timis, Anul 2006, Numar persoane,59
 159446 PADURENI,35-39 ani, Masculin, Timis, Anul 2005, Numar persoane,85
 159446 PADURENI,35-39 ani, Masculin, Timis, Anul 2006, Numar persoane,85
 159446 PADURENI,35-39 ani, Feminin, Timis, Anul 2005, Numar persoane,60
 159446 PADURENI,35-39 ani, Feminin, Timis, Anul 2006, Numar persoane,71
 159446 PADURENI,40-44 ani, Masculin, Timis, Anul 2005, Numar persoane,44
 159446 PADURENI,40-44 ani, Masculin, Timis, Anul 2006, Numar persoane,43
 159446 PADURENI,40-44 ani, Feminin, Timis, Anul 2005, Numar persoane,34
 159446 PADURENI,40-44 ani, Feminin, Timis, Anul 2006, Numar persoane,34
 159446 PADURENI,45-49 ani, Masculin, Timis, Anul 2005, Numar persoane,61
 159446 PADURENI,45-49 ani, Masculin, Timis, Anul 2006, Numar persoane,60
 159446 PADURENI,45-49 ani, Feminin, Timis, Anul 2005, Numar persoane,52
 159446 PADURENI,45-49 ani, Feminin, Timis, Anul 2006, Numar persoane,50
 159446 PADURENI,50-54 ani, Masculin, Timis, Anul 2005, Numar persoane,39
 159446 PADURENI,50-54 ani, Masculin, Timis, Anul 2006, Numar persoane,42
 159446 PADURENI,50-54 ani, Feminin, Timis, Anul 2005, Numar persoane,41
 159446 PADURENI,50-54 ani, Feminin, Timis, Anul 2006, Numar persoane,47
 159446 PADURENI,55-59 ani, Masculin, Timis, Anul 2005, Numar persoane,31
 159446 PADURENI,55-59 ani, Masculin, Timis, Anul 2006, Numar persoane,37
 159446 PADURENI,55-59 ani, Feminin, Timis, Anul 2005, Numar persoane,43
 159446 PADURENI,55-59 ani, Feminin, Timis, Anul 2006, Numar persoane,42
 159446 PADURENI,60-64 ani, Masculin, Timis, Anul 2005, Numar persoane,27
 159446 PADURENI,60-64 ani, Masculin, Timis, Anul 2006, Numar persoane,28
 159446 PADURENI,60-64 ani, Feminin, Timis, Anul 2005, Numar persoane,47
 159446 PADURENI,60-64 ani, Feminin, Timis, Anul 2006, Numar persoane,42
 159446 PADURENI,65-69 ani, Masculin, Timis, Anul 2005, Numar persoane,41
 159446 PADURENI,65-69 ani, Masculin, Timis, Anul 2006, Numar persoane,32
 159446 PADURENI,65-69 ani, Feminin, Timis, Anul 2005, Numar persoane,49
 159446 PADURENI,65-69 ani, Feminin, Timis, Anul 2006, Numar persoane,44
