 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 180028 PORUMBESTI,0- 4 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,87
 180028 PORUMBESTI,0- 4 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,86
 180028 PORUMBESTI,0- 4 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,83
 180028 PORUMBESTI,0- 4 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,79
 180028 PORUMBESTI,0- 4 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,74
 180028 PORUMBESTI,0- 4 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,73
 180028 PORUMBESTI,0- 4 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,102
 180028 PORUMBESTI,0- 4 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,100
 180028 PORUMBESTI,0- 4 ani, Feminin, Satu Mare, Anul 2008, Numar persoane,94
 180028 PORUMBESTI,0- 4 ani, Feminin, Satu Mare, Anul 2009, Numar persoane,89
 180028 PORUMBESTI,0- 4 ani, Feminin, Satu Mare, Anul 2010, Numar persoane,87
 180028 PORUMBESTI,0- 4 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,80
 180028 PORUMBESTI,5- 9 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,90
 180028 PORUMBESTI,5- 9 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,94
 180028 PORUMBESTI,5- 9 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,94
 180028 PORUMBESTI,5- 9 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,91
 180028 PORUMBESTI,5- 9 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,98
 180028 PORUMBESTI,5- 9 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,85
 180028 PORUMBESTI,5- 9 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,88
 180028 PORUMBESTI,5- 9 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,90
 180028 PORUMBESTI,5- 9 ani, Feminin, Satu Mare, Anul 2008, Numar persoane,94
 180028 PORUMBESTI,5- 9 ani, Feminin, Satu Mare, Anul 2009, Numar persoane,105
 180028 PORUMBESTI,5- 9 ani, Feminin, Satu Mare, Anul 2010, Numar persoane,107
 180028 PORUMBESTI,5- 9 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,104
 180028 PORUMBESTI,10-14 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,90
