 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 180091 RACSA,0- 4 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,77
 180091 RACSA,0- 4 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,69
 180091 RACSA,5- 9 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,82
 180091 RACSA,5- 9 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,88
 180091 RACSA,10-14 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,98
 180091 RACSA,10-14 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,91
 180091 RACSA,15-19 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,102
 180091 RACSA,15-19 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,98
 180091 RACSA,20-24 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,150
 180091 RACSA,20-24 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,119
 180091 RACSA,25-29 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,108
 180091 RACSA,25-29 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,138
 180091 RACSA,30-34 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,120
 180091 RACSA,30-34 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,105
 180091 RACSA,35-39 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,115
 180091 RACSA,35-39 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,82
 180091 RACSA,40-44 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,110
 180091 RACSA,40-44 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,117
 180091 RACSA,45-49 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,99
 180091 RACSA,45-49 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,107
 180091 RACSA,50-54 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,104
 180091 RACSA,50-54 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,104
 180091 RACSA,55-59 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,88
 180091 RACSA,55-59 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,84
 180091 RACSA,60-64 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,83
 180091 RACSA,60-64 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,81
 180091 RACSA,65-69 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,49
 180091 RACSA,65-69 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,59
 180091 RACSA,70-74 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,48
 180091 RACSA,70-74 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,71
 180091 RACSA,75-79 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,32
 180091 RACSA,75-79 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,48
 180091 RACSA,80-84 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,18
 180091 RACSA,80-84 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,23
 180091 RACSA,85 ani si peste, Masculin, Satu Mare, Anul 2011, Numar persoane,5
 180091 RACSA,85 ani si peste, Feminin, Satu Mare, Anul 2011, Numar persoane,7
 180091 RACSA,0- 4 ani, Masculin, Satu Mare, Anul 2012, Numar persoane,81
 180091 RACSA,0- 4 ani, Masculin, Satu Mare, Anul 2013, Numar persoane,74
 180091 RACSA,0- 4 ani, Masculin, Satu Mare, Anul 2014, Numar persoane,71
 180091 RACSA,0- 4 ani, Masculin, Satu Mare, Anul 2015, Numar persoane,61
 180091 RACSA,0- 4 ani, Masculin, Satu Mare, Anul 2016, Numar persoane,69
 180091 RACSA,0- 4 ani, Masculin, Satu Mare, Anul 2017, Numar persoane,64
 180091 RACSA,0- 4 ani, Feminin, Satu Mare, Anul 2012, Numar persoane,74
 180091 RACSA,0- 4 ani, Feminin, Satu Mare, Anul 2013, Numar persoane,75
 180091 RACSA,0- 4 ani, Feminin, Satu Mare, Anul 2014, Numar persoane,66
