 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 26582 SINMARTIN,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,333
 26582 SINMARTIN,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,306
 26582 SINMARTIN,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,278
 26582 SINMARTIN,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,269
 26582 SINMARTIN,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,267
 26582 SINMARTIN,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,237
 26582 SINMARTIN,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,239
 26582 SINMARTIN,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,236
 26582 SINMARTIN,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,325
 26582 SINMARTIN,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,293
 26582 SINMARTIN,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,261
 26582 SINMARTIN,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,240
 26582 SINMARTIN,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,221
 26582 SINMARTIN,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,196
 26582 SINMARTIN,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,196
 26582 SINMARTIN,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,217
 26582 SINMARTIN,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,296
 26582 SINMARTIN,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,314
 26582 SINMARTIN,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,339
 26582 SINMARTIN,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,333
 26582 SINMARTIN,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,329
 26582 SINMARTIN,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,336
 26582 SINMARTIN,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,309
 26582 SINMARTIN,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,284
 26582 SINMARTIN,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,276
 26582 SINMARTIN,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,309
 26582 SINMARTIN,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,332
 26582 SINMARTIN,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,355
 26582 SINMARTIN,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,347
 26582 SINMARTIN,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,328
 26582 SINMARTIN,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,293
 26582 SINMARTIN,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,259
 26582 SINMARTIN,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,306
 26582 SINMARTIN,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,305
 26582 SINMARTIN,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,304
 26582 SINMARTIN,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,304
 26582 SINMARTIN,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,305
 26582 SINMARTIN,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,295
 26582 SINMARTIN,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,309
 26582 SINMARTIN,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,331
 26582 SINMARTIN,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,318
