 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 27169 ABRAMUT,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,124
 27169 ABRAMUT,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,124
 27169 ABRAMUT,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,121
 27169 ABRAMUT,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,113
 27169 ABRAMUT,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,108
 27169 ABRAMUT,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,104
 27169 ABRAMUT,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,110
 27169 ABRAMUT,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,107
 27169 ABRAMUT,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,130
 27169 ABRAMUT,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,138
 27169 ABRAMUT,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,125
 27169 ABRAMUT,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,126
 27169 ABRAMUT,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,106
 27169 ABRAMUT,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,105
 27169 ABRAMUT,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,102
 27169 ABRAMUT,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,104
 27169 ABRAMUT,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,123
 27169 ABRAMUT,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,130
 27169 ABRAMUT,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,132
 27169 ABRAMUT,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,133
 27169 ABRAMUT,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,139
