 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 27285 AVRAM IANCU,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,120
 27285 AVRAM IANCU,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,120
 27285 AVRAM IANCU,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,105
 27285 AVRAM IANCU,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,109
 27285 AVRAM IANCU,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,106
 27285 AVRAM IANCU,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,113
 27285 AVRAM IANCU,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,109
 27285 AVRAM IANCU,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,117
 27285 AVRAM IANCU,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,119
 27285 AVRAM IANCU,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,116
 27285 AVRAM IANCU,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,122
 27285 AVRAM IANCU,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,109
 27285 AVRAM IANCU,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,108
 27285 AVRAM IANCU,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,104
 27285 AVRAM IANCU,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,111
 27285 AVRAM IANCU,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,119
 27285 AVRAM IANCU,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,118
 27285 AVRAM IANCU,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,119
 27285 AVRAM IANCU,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,135
 27285 AVRAM IANCU,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,133
 27285 AVRAM IANCU,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,131
 27285 AVRAM IANCU,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,116
 27285 AVRAM IANCU,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,118
 27285 AVRAM IANCU,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,110
 27285 AVRAM IANCU,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,112
 27285 AVRAM IANCU,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,114
 27285 AVRAM IANCU,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,114
 27285 AVRAM IANCU,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,117
 27285 AVRAM IANCU,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,117
 27285 AVRAM IANCU,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,118
 27285 AVRAM IANCU,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,111
 27285 AVRAM IANCU,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,120
 27285 AVRAM IANCU,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,142
 27285 AVRAM IANCU,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,133
 27285 AVRAM IANCU,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,128
 27285 AVRAM IANCU,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,115
 27285 AVRAM IANCU,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,108
 27285 AVRAM IANCU,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,119
 27285 AVRAM IANCU,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,123
 27285 AVRAM IANCU,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,137
 27285 AVRAM IANCU,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,142
 27285 AVRAM IANCU,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,141
 27285 AVRAM IANCU,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,132
 27285 AVRAM IANCU,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,118
 27285 AVRAM IANCU,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,115
 27285 AVRAM IANCU,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,111
 27285 AVRAM IANCU,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,115
 27285 AVRAM IANCU,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,114
 27285 AVRAM IANCU,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,164
 27285 AVRAM IANCU,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,164
 27285 AVRAM IANCU,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,161
 27285 AVRAM IANCU,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,157
 27285 AVRAM IANCU,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,146
 27285 AVRAM IANCU,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,142
 27285 AVRAM IANCU,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,133
 27285 AVRAM IANCU,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,132
 27285 AVRAM IANCU,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,133
 27285 AVRAM IANCU,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,139
 27285 AVRAM IANCU,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,137
 27285 AVRAM IANCU,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,143
 27285 AVRAM IANCU,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,140
 27285 AVRAM IANCU,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,140
 27285 AVRAM IANCU,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,134
 27285 AVRAM IANCU,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,132
 27285 AVRAM IANCU,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,161
 27285 AVRAM IANCU,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,151
 27285 AVRAM IANCU,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,139
 27285 AVRAM IANCU,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,152
 27285 AVRAM IANCU,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,161
 27285 AVRAM IANCU,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,162
 27285 AVRAM IANCU,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,164
 27285 AVRAM IANCU,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,157
 27285 AVRAM IANCU,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,142
 27285 AVRAM IANCU,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,133
 27285 AVRAM IANCU,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,135
 27285 AVRAM IANCU,20-24 ani, Feminin, Bihor, Anul 1995, Numar persoane,128
 27285 AVRAM IANCU,20-24 ani, Feminin, Bihor, Anul 1996, Numar persoane,123
 27285 AVRAM IANCU,20-24 ani, Feminin, Bihor, Anul 1997, Numar persoane,129
 27285 AVRAM IANCU,20-24 ani, Feminin, Bihor, Anul 1998, Numar persoane,140
 27285 AVRAM IANCU,20-24 ani, Feminin, Bihor, Anul 1999, Numar persoane,144
 27285 AVRAM IANCU,25-29 ani, Masculin, Bihor, Anul 1992, Numar persoane,96
 27285 AVRAM IANCU,25-29 ani, Masculin, Bihor, Anul 1993, Numar persoane,102
 27285 AVRAM IANCU,25-29 ani, Masculin, Bihor, Anul 1994, Numar persoane,124
