 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 27436 BIHARIA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,154
 27436 BIHARIA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,150
 27436 BIHARIA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,154
 27436 BIHARIA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,140
 27436 BIHARIA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,148
 27436 BIHARIA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,143
 27436 BIHARIA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,143
 27436 BIHARIA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,149
 27436 BIHARIA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,158
 27436 BIHARIA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,149
 27436 BIHARIA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,144
 27436 BIHARIA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,133
 27436 BIHARIA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,119
 27436 BIHARIA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,110
 27436 BIHARIA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,97
 27436 BIHARIA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,101
 27436 BIHARIA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,167
 27436 BIHARIA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,166
 27436 BIHARIA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,165
 27436 BIHARIA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,163
 27436 BIHARIA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,155
 27436 BIHARIA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,147
 27436 BIHARIA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,149
 27436 BIHARIA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,150
 27436 BIHARIA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,171
 27436 BIHARIA,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,187
 27436 BIHARIA,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,181
 27436 BIHARIA,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,185
 27436 BIHARIA,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,176
 27436 BIHARIA,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,161
 27436 BIHARIA,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,153
 27436 BIHARIA,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,149
 27436 BIHARIA,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,216
 27436 BIHARIA,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,202
 27436 BIHARIA,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,190
 27436 BIHARIA,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,182
 27436 BIHARIA,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,175
 27436 BIHARIA,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,168
 27436 BIHARIA,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,168
 27436 BIHARIA,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,169
 27436 BIHARIA,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,207
 27436 BIHARIA,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,180
 27436 BIHARIA,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,181
 27436 BIHARIA,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,178
 27436 BIHARIA,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,172
 27436 BIHARIA,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,175
 27436 BIHARIA,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,190
 27436 BIHARIA,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,185
 27436 BIHARIA,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,236
 27436 BIHARIA,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,229
 27436 BIHARIA,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,233
 27436 BIHARIA,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,246
 27436 BIHARIA,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,231
 27436 BIHARIA,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,217
 27436 BIHARIA,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,203
 27436 BIHARIA,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,193
 27436 BIHARIA,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,210
 27436 BIHARIA,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,236
 27436 BIHARIA,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,220
 27436 BIHARIA,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,189
 27436 BIHARIA,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,198
 27436 BIHARIA,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,202
 27436 BIHARIA,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,175
 27436 BIHARIA,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,181
 27436 BIHARIA,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,257
 27436 BIHARIA,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,261
 27436 BIHARIA,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,233
 27436 BIHARIA,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,221
 27436 BIHARIA,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,220
 27436 BIHARIA,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,223
 27436 BIHARIA,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,222
 27436 BIHARIA,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,231
