 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 27757 BRUSTURI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,190
 27757 BRUSTURI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,192
 27757 BRUSTURI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,170
 27757 BRUSTURI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,180
 27757 BRUSTURI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,159
 27757 BRUSTURI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,152
 27757 BRUSTURI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,145
 27757 BRUSTURI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,139
 27757 BRUSTURI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,164
 27757 BRUSTURI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,168
 27757 BRUSTURI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,172
 27757 BRUSTURI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,169
 27757 BRUSTURI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,169
 27757 BRUSTURI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,154
 27757 BRUSTURI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,147
 27757 BRUSTURI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,146
 27757 BRUSTURI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,158
 27757 BRUSTURI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,153
 27757 BRUSTURI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,168
 27757 BRUSTURI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,161
 27757 BRUSTURI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,157
 27757 BRUSTURI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,165
 27757 BRUSTURI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,161
 27757 BRUSTURI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,146
 27757 BRUSTURI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,166
 27757 BRUSTURI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,174
 27757 BRUSTURI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,173
 27757 BRUSTURI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,163
 27757 BRUSTURI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,155
 27757 BRUSTURI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,155
 27757 BRUSTURI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,152
